PeakID (cmd=annotatePeaks.pl ESR1_T2E.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_1569	chr14	99272534	99273342	+	558.02	NA	Intergenic	NA	94988	NR_161369	283598	Hs.448754	NM_182560	ENSG00000176605	C14orf177	-	chromosome 14 open reading frame 177	ncRNA
MACS_peak_2218	chr17	55419988	55420702	+	557.78	NA	intron (NM_001322250, intron 5 of 13)	NA	85965	NM_170721	124540	Hs.658922	NM_138962	ENSG00000153944	MSI2	MSI2H	musashi RNA binding protein 2	protein-coding
MACS_peak_3004	chr2	237949853	237950331	+	557.24	NA	Intergenic	NA	14718	NR_135202	93463	Hs.652810	NR_135202	ENSG00000124835	LOC93463	-	uncharacterized LOC93463	ncRNA
MACS_peak_1009	chr11	121196556	121197295	+	555.45	NA	Intergenic	NA	33348	NM_001024956	6309	Hs.287749	NM_006918	ENSG00000109929	SC5D	ERG3|S5DES|SC5DL	sterol-C5-desaturase	protein-coding
MACS_peak_1092	chr12	52540936	52541795	+	554.18	NA	Intergenic	NA	44433	NM_182507	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
MACS_peak_5328	chrX	109194891	109195581	+	554.03	NA	Intergenic	NA	-50627	NM_001353851	84187	Hs.496572	NM_017698	ENSG00000157600	TMEM164	bB360B22.3	transmembrane protein 164	protein-coding
MACS_peak_4326	chr6	36086028	36086592	+	553.93	NA	Intergenic	NA	-11980	NR_072996	5603	Hs.178695	NM_002754	ENSG00000156711	MAPK13	MAPK 13|MAPK-13|PRKM13|SAPK4|p38delta	mitogen-activated protein kinase 13	protein-coding
MACS_peak_1329	chr13	98949842	98950545	+	553.86	NA	intron (NM_001286839, intron 2 of 27)	NA	89415	NR_036129	100422881		NR_036129	ENSG00000263399	MIR3170	mir-3170	microRNA 3170	ncRNA
MACS_peak_154	chr1	44533190	44533725	+	552.81	NA	Intergenic	NA	-36323	NM_001328630	6536	Hs.442590	NM_006934	ENSG00000196517	SLC6A9	GCENSG|GLYT1	solute carrier family 6 member 9	protein-coding
MACS_peak_1838	chr16	1358365	1359269	+	552.43	NA	promoter-TSS (NM_194261)	NA	-336	NM_194261	7329	Hs.302903	NM_003345	ENSG00000103275	UBE2I	C358B7.1|P18|UBC9	ubiquitin conjugating enzyme E2 I	protein-coding
MACS_peak_5282	chrX	37763977	37764572	+	551.64	NA	Intergenic	NA	-57450	NM_006520	6990	Hs.446392	NM_006520	ENSG00000165169	DYNLT3	RP3|TCTE1L|TCTEX1L	dynein light chain Tctex-type 3	protein-coding
MACS_peak_1528	chr14	91860377	91861092	+	551.13	NA	intron (NM_001080414, intron 3 of 29)	NA	23430	NM_001080414	440193	Hs.525536	NM_001080414	ENSG00000015133	CCDC88C	DAPLE|HKRP2|HYC1|KIAA1509|SCA40	coiled-coil domain containing 88C	protein-coding
MACS_peak_5263	chrX	13047252	13048470	+	550.03	NA	Intergenic	NA	14878	NM_174901	171484	Hs.667546	NM_174901	ENSG00000187268	FAM9C	TEX39C	family with sequence similarity 9 member C	protein-coding
MACS_peak_3127	chr20	46786541	46787446	+	549.19	NA	Intergenic	NA	-168132	NR_110027	101927457	Hs.445823	NR_110027		LINC01522	-	long intergenic non-protein coding RNA 1522	ncRNA
MACS_peak_3024	chr20	3049386	3050144	+	546.29	NA	Intergenic	NA	-2501	NM_000915	5020	Hs.113216	NM_000915	ENSG00000101405	OXT	OT|OT-NPI|OXT-NPI	oxytocin/neurophysin I prepropeptide	protein-coding
MACS_peak_4644	chr7	95804055	95805122	+	544.84	NA	intron (NM_001160210, intron 11 of 17)	NA	44480	NR_030322	693176		NR_030322	ENSG00000208025	MIR591	MIRN591|hsa-mir-591	microRNA 591	ncRNA
MACS_peak_1010	chr11	122967050	122967799	+	544.08	NA	intron (NM_024769, intron 2 of 6)	NA	-34580	NM_153201	3312	Hs.180414	NM_006597	ENSG00000109971	HSPA8	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	heat shock protein family A (Hsp70) member 8	protein-coding
MACS_peak_2372	chr18	43693404	43694386	+	543.12	NA	intron (NR_026978, intron 2 of 8)	NA	9544	NM_138443	115106	Hs.436617	NM_138443	ENSG00000152240	HAUS1	CCDC5|HEI-C|HEIC|HsT1461	HAUS augmin like complex subunit 1	protein-coding
MACS_peak_578	chr10	69968136	69968912	+	541.45	NA	intron (NM_032578, intron 19 of 19)	NA	23346	NM_145178	220202	Hs.175396	NM_145178	ENSG00000179774	ATOH7	Math5|NCRNA|PHPVAR|RNANC|bHLHa13	atonal bHLH transcription factor 7	protein-coding
MACS_peak_4101	chr5	66531355	66532034	+	539.82	NA	Intergenic	NA	-39067	NM_005582	4064	Hs.87205	NM_005582	ENSG00000134061	CD180	LY64|Ly78|RP105	CD180 molecule	protein-coding
MACS_peak_2486	chr19	16045563	16046287	+	538.48	NA	promoter-TSS (NM_001128932)	NA	-249	NM_021187	57834	Hs.187393	NM_021187	ENSG00000171903	CYP4F11	CYPIVF11	cytochrome P450 family 4 subfamily F member 11	protein-coding
MACS_peak_4789	chr8	26059431	26060349	+	538.44	NA	Intergenic	NA	-89134	NM_002717	5520	Hs.146339	NM_002717	ENSG00000221914	PPP2R2A	B55A|B55ALPHA|PR52A|PR55A|PR55alpha	protein phosphatase 2 regulatory subunit Balpha	protein-coding
MACS_peak_3628	chr3	63905677	63906835	+	536.73	NA	intron (NM_001177387, intron 3 of 12)	NA	-8808	NR_148359	100861563		NR_148359	ENSG00000280620	SCAANT1	ATXN7-AS1	SCA7/ATXN7 antisense RNA 1	ncRNA
MACS_peak_3307	chr21	43795414	43796145	+	536.22	NA	intron (NM_001256317, intron 12 of 12)	NA	-9135	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_3406	chr22	30450599	30451395	+	536.21	NA	intron (NR_110541, intron 1 of 4)	NA	25249	NR_110541	101929664	Hs.592197	NR_110541		HORMAD2-AS1	MTMR3-AS1	HORMAD2 and MTMR3 antisense RNA 1	ncRNA
MACS_peak_1935	chr16	49044041	49044718	+	536.18	NA	Intergenic	NA	271370	NM_004352	869	Hs.458423	NM_004352	ENSG00000102924	CBLN1	-	cerebellin 1 precursor	protein-coding
MACS_peak_3056	chr20	24630427	24631036	+	536.18	NA	intron (NM_001323606, intron 4 of 4)	NA	180134	NR_147606	79953	Hs.124638	NM_024893	ENSG00000101463	SYNDIG1	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation inducing 1	protein-coding
MACS_peak_4085	chr5	55964624	55965634	+	535.97	NA	Intergenic	NA	-63046	NR_161255	101928448	Hs.208052	NM_001287053	ENSG00000225940	C5orf67	-	chromosome 5 open reading frame 67	ncRNA
MACS_peak_3682	chr3	123128280	123129136	+	535.94	NA	intron (NM_183357, intron 1 of 20)	NA	6481	NM_001199642	111	Hs.593292	NM_183357	ENSG00000173175	ADCY5	AC5|FDFM	adenylate cyclase 5	protein-coding
MACS_peak_2190	chr17	46877888	46878577	+	535.03	NA	intron (NM_001130918, intron 5 of 15)	NA	-6546	NM_173623	284076	Hs.91930	NM_173623	ENSG00000170703	TTLL6	TTL.6	tubulin tyrosine ligase like 6	protein-coding
MACS_peak_5222	chr9	132517585	132518329	+	534.94	NA	Intergenic	NA	-2636	NM_004878	9536	Hs.146688	NM_004878	ENSG00000148344	PTGES	MGST-IV|MGST1-L1|MGST1L1|MPGES|PGES|PIG12|PP102|PP1294|TP53I12|mPGES-1	prostaglandin E synthase	protein-coding
MACS_peak_1910	chr16	23159608	23160562	+	534.88	NA	exon (NM_020718, exon 1 of 16)	NA	506	NM_020718	57478	Hs.183817	NM_020718	ENSG00000103404	USP31	-	ubiquitin specific peptidase 31	protein-coding
MACS_peak_1700	chr15	64390539	64391310	+	534.66	NA	intron (NM_003099, intron 1 of 14)	NA	2743	NM_001242933	6642	Hs.188634	NM_003099	ENSG00000028528	SNX1	HsT17379|VPS5	sorting nexin 1	protein-coding
MACS_peak_985	chr11	112163659	112164297	+	534.59	NA	intron (NR_126004, intron 1 of 3)	NA	22506	NR_126004	283140	Hs.651827	NR_126004	ENSG00000250303	LINC02762	-	long intergenic non-protein coding RNA 2762	ncRNA
MACS_peak_4670	chr7	101957620	101958104	+	533.11	NA	exon (NM_001359229, exon 5 of 7)	NA	21493	NR_036245	100422858		NR_036245	ENSG00000264675	MIR4285	-	microRNA 4285	ncRNA
MACS_peak_1479	chr14	75726485	75727510	+	532.22	NA	Intergenic	NA	-18534	NM_005252	2353	Hs.25647	NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
MACS_peak_4284	chr6	17389450	17390042	+	531.97	NA	Intergenic	NA	-3990	NM_001363533	10486	Hs.132902	NM_006366	ENSG00000112186	CAP2	-	cyclase associated actin cytoskeleton regulatory protein 2	protein-coding
MACS_peak_4447	chr6	134850786	134851467	+	530.67	NA	intron (NR_125855, intron 2 of 3)	NA	10017	NR_125856	101928304	Hs.555076	NR_125855		LOC101928304	-	uncharacterized LOC101928304	ncRNA
MACS_peak_4825	chr8	38635746	38636301	+	529.41	NA	intron (NM_001352804, intron 1 of 10)	NA	-8731	NM_001352803	6867	Hs.279245	NM_006283	ENSG00000147526	TACC1	Ga55	transforming acidic coiled-coil containing protein 1	protein-coding
MACS_peak_826	chr11	45007290	45007947	+	528.90	NA	Intergenic	NA	12165	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LINC02685	-	long intergenic non-protein coding RNA 2685	ncRNA
MACS_peak_481	chr10	19521030	19521964	+	528.89	NA	intron (NM_001142308, intron 18 of 39)	NA	183767	NM_001142308	340895	Hs.646734	NM_001142308	ENSG00000204740	MALRD1	C10orf112|DIET1|bA265G8.2	MAM and LDL receptor class A domain containing 1	protein-coding
MACS_peak_5157	chr9	117320548	117321075	+	527.77	NA	Intergenic	NA	-29238	NM_004888	9550	Hs.388654	NM_004888	ENSG00000136888	ATP6V1G1	ATP6G|ATP6G1|ATP6GL|ATP6J|Vma10	ATPase H+ transporting V1 subunit G1	protein-coding
MACS_peak_4884	chr8	100830365	100831039	+	527.50	NA	exon (NM_017890, exon 46 of 62)	NA	75233	NM_004374	1345	Hs.351875	NM_004374	ENSG00000164919	COX6C	-	cytochrome c oxidase subunit 6C	protein-coding
MACS_peak_3399	chr22	29773933	29774692	+	526.83	NA	intron (NM_001127, intron 1 of 22)	NA	10247	NM_001166019	162	Hs.368794	NM_001127	ENSG00000100280	AP1B1	ADTB1|AP105A|BAM22|CLAPB2	adaptor related protein complex 1 subunit beta 1	protein-coding
MACS_peak_1250	chr12	125230010	125230713	+	525.39	NA	Intergenic	NA	93856	NM_001367982	949	Hs.731377	NM_005505	ENSG00000073060	SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	scavenger receptor class B member 1	protein-coding
MACS_peak_2110	chr17	13085894	13086739	+	523.93	NA	Intergenic	NA	123761	NR_146885	105371541		NR_146885	ENSG00000234634	LINC02093	-	long intergenic non-protein coding RNA 2093	ncRNA
MACS_peak_3883	chr4	27170044	27170896	+	522.24	NA	Intergenic	NA	-48631	NR_125921	101929199	Hs.570815	NR_125921	ENSG00000249699	LINC02261	-	long intergenic non-protein coding RNA 2261	ncRNA
MACS_peak_106	chr1	34125874	34126737	+	522.18	NA	intron (NM_001281956, intron 26 of 70)	NA	188059	NM_145238	7579	Hs.442705	NM_145238	ENSG00000121903	ZSCAN20	KOX29|ZFP-31|ZNF31|ZNF360	zinc finger and SCAN domain containing 20	protein-coding
MACS_peak_2058	chr16	85786944	85787486	+	521.58	NA	Intergenic	NA	-2513	NR_161454	404550	Hs.461655	NM_206967	ENSG00000154102	C16orf74	-	chromosome 16 open reading frame 74	protein-coding
MACS_peak_3607	chr3	58452688	58453372	+	521.10	NA	Intergenic	NA	-24793	NM_001128214	200845	Hs.13982	NM_153331	ENSG00000168301	KCTD6	KCASH3	potassium channel tetramerization domain containing 6	protein-coding
MACS_peak_494	chr10	25346460	25346913	+	520.81	NA	intron (NM_001270383, intron 2 of 5)	NA	4522	NM_001270383	219670	Hs.534486	NM_145010	ENSG00000151023	ENKUR	C10orf63|CFAP106	enkurin, TRPC channel interacting protein	protein-coding
MACS_peak_1633	chr15	38885486	38886113	+	520.17	NA	Intergenic	NA	-28784	NM_001128602	10125	Hs.591127	NM_005739	ENSG00000172575	RASGRP1	CALDAG-GEFI|CALDAG-GEFII|RASGRP	RAS guanyl releasing protein 1	protein-coding
MACS_peak_4651	chr7	98394612	98395179	+	520.11	NA	Intergenic	NA	72742	NM_001134451	222865	Hs.270753	NM_152913	ENSG00000166448	TMEM130	-	transmembrane protein 130	protein-coding
MACS_peak_166	chr1	51795919	51796380	+	519.15	NA	promoter-TSS (NM_001297663)	NA	85	NM_001297662	22996	Hs.112949	NM_001080494	ENSG00000085831	TTC39A	C1orf34|DEME-6	tetratricopeptide repeat domain 39A	protein-coding
MACS_peak_1330	chr13	98953054	98953728	+	518.41	NA	intron (NM_001286839, intron 2 of 27)	NA	92613	NR_036129	100422881		NR_036129	ENSG00000263399	MIR3170	mir-3170	microRNA 3170	ncRNA
MACS_peak_2576	chr19	46696283	46696834	+	517.96	NA	intron (NR_135234, intron 2 of 2)	NA	9761	NR_135234	645553	Hs.613068	NR_135234		IGFL2-AS1	-	IGFL2 antisense RNA 1	ncRNA
MACS_peak_3094	chr20	35402547	35402998	+	517.73	NA	promoter-TSS (NM_001145318)	NA	-606	NM_024918	79980	Hs.632268	NM_024918	ENSG00000149636	DSN1	C20orf172|KNL3|MIS13|dJ469A13.2|hKNL-3	DSN1 component of MIS12 kinetochore complex	protein-coding
MACS_peak_261	chr1	153492715	153493311	+	516.51	NA	Intergenic	NA	15454	NM_014624	6277	Hs.275243	NM_014624	ENSG00000197956	S100A6	2A9|5B10|CABP|CACY|PRA|S10A6	S100 calcium binding protein A6	protein-coding
MACS_peak_111	chr1	35290994	35291679	+	516.31	NA	Intergenic	NA	32736	NM_002060	2701	Hs.296310	NM_002060	ENSG00000187513	GJA4	CX37	gap junction protein alpha 4	protein-coding
MACS_peak_4247	chr6	3226685	3227387	+	516.07	NA	intron (NM_178012, intron 1 of 3)	NA	851	NM_178012	347733	Hs.300701	NM_178012	ENSG00000137285	TUBB2B	CDCBM7|PMGYSA|bA506K6.1	tubulin beta 2B class IIb	protein-coding
MACS_peak_3961	chr4	113204175	113205120	+	514.62	NA	intron (NM_052864, intron 1 of 1)	NA	2413	NM_052864	92610	Hs.310640	NM_052864	ENSG00000145365	TIFA	T2BP|T6BP|TIFAA	TRAF interacting protein with forkhead associated domain	protein-coding
MACS_peak_3926	chr4	84572324	84573272	+	514.58	NA	Intergenic	NA	115537	NM_032717	84803	Hs.99196	NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
MACS_peak_1919	chr16	27908924	27909996	+	514.17	NA	intron (NM_001109763, intron 2 of 6)	NA	-9982	NM_144675	146395	Hs.91910	NM_144675	ENSG00000169181	GSG1L	PRO19651	GSG1 like	protein-coding
MACS_peak_1609	chr14	105846386	105847030	+	514.00	NA	intron (NM_001243127, intron 11 of 23)	NA	-18167	NM_001195082	647310	Hs.729499	NM_001195082	ENSG00000226174	TEX22	-	testis expressed 22	protein-coding
MACS_peak_1472	chr14	75124910	75125735	+	513.64	NA	Intergenic	NA	-46382	NM_000428	4053	Hs.512776	NM_000428	ENSG00000119681	LTBP2	C14orf141|GLC3D|LTBP3|MSPKA|MSTP031|WMS3	latent transforming growth factor beta binding protein 2	protein-coding
MACS_peak_4327	chr6	36089461	36090647	+	513.64	NA	Intergenic	NA	-8236	NR_072996	5603	Hs.178695	NM_002754	ENSG00000156711	MAPK13	MAPK 13|MAPK-13|PRKM13|SAPK4|p38delta	mitogen-activated protein kinase 13	protein-coding
MACS_peak_4463	chr6	149401142	149401935	+	513.33	NA	Intergenic	NA	-47741	NR_134599	105378047	Hs.659484	NR_134599		LOC105378047	-	uncharacterized LOC105378047	ncRNA
MACS_peak_723	chr10	120384962	120385482	+	512.84	NA	Intergenic	NA	-30062	NM_004248	2834	Hs.248119	NM_004248	ENSG00000119973	PRLHR	GPR10|GR3|PrRPR	prolactin releasing hormone receptor	protein-coding
MACS_peak_4048	chr5	32144384	32145397	+	512.77	NA	intron (NM_022130, intron 1 of 3)	NA	29535	NM_022130	64083	Hs.408909	NM_022130	ENSG00000113384	GOLPH3	GOPP1|GPP34|MIDAS|Vps74	golgi phosphoprotein 3	protein-coding
MACS_peak_4335	chr6	38229360	38230063	+	511.65	NA	intron (NM_001099272, intron 8 of 10)	NA	-219661	NR_144472	101929425	Hs.665280	NR_144472	ENSG00000226533	BTBD9-AS1	-	BTBD9 antisense RNA 1	ncRNA
MACS_peak_1100	chr12	53288841	53289516	+	511.65	NA	Intergenic	NA	3590	NR_162090	113218482		NR_162090		MIR9898	-	microRNA 9898	ncRNA
MACS_peak_2905	chr2	169312314	169312963	+	510.67	NA	promoter-TSS (NM_001256126)	NA	-144	NM_203463	253782	Hs.506829	NM_203463	ENSG00000172292	CERS6	CERS5|LASS6	ceramide synthase 6	protein-coding
MACS_peak_2943	chr2	190405742	190406789	+	510.51	NA	Intergenic	NA	39272	NM_014585	30061	Hs.643005	NM_014585	ENSG00000138449	SLC40A1	FPN1|HFE4|IREG1|MST079|MSTP079|MTP1|SLC11A3	solute carrier family 40 member 1	protein-coding
MACS_peak_751	chr10	130339118	130340093	+	508.72	NA	Intergenic	NA	255391	NR_120619	101927381	Hs.523342	NR_120619	ENSG00000280953	LINC01163	TCONS_00017722	long intergenic non-protein coding RNA 1163	ncRNA
MACS_peak_3863	chr4	6416990	6417750	+	508.55	NA	intron (NM_001206996, intron 1 of 9)	NA	5475	NM_001206996	5522	Hs.479069	NM_020416	ENSG00000074211	PPP2R2C	B55-GAMMA|B55gamma|IMYPNO|IMYPNO1|PR52|PR55G	protein phosphatase 2 regulatory subunit Bgamma	protein-coding
MACS_peak_778	chr11	6336790	6337365	+	508.18	NA	Intergenic	NA	4654	NM_145040	112464	Hs.434044	NM_145040	ENSG00000170955	CAVIN3	HSRBC|PRKCDBP|SRBC|cavin-3	caveolae associated protein 3	protein-coding
MACS_peak_2782	chr2	100147898	100148392	+	505.54	NA	Intergenic	NA	-41666	NR_135650	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1 DNA directed polymerase	protein-coding
MACS_peak_2060	chr16	86227217	86227934	+	504.86	NA	Intergenic	NA	-2212	NR_103859	100506542	Hs.111902	NR_103859	ENSG00000269186	LINC01082	TCONS_00024492	long intergenic non-protein coding RNA 1082	ncRNA
MACS_peak_872	chr11	68713915	68714662	+	504.05	NA	Intergenic	NA	34167	NM_198923	116512	Hs.527802	NM_198923	ENSG00000172938	MRGPRD	MRGD|TGR7	MAS related GPR family member D	protein-coding
MACS_peak_3412	chr22	30932275	30932766	+	502.97	NA	intron (NM_001353443, intron 2 of 10)	NA	6121	NM_001353441	730005	Hs.505605	NM_001193336	ENSG00000214491	SEC14L6	-	SEC14 like lipid binding 6	protein-coding
MACS_peak_1835	chr16	1241475	1242173	+	501.98	NA	intron (NM_001005407, intron 2 of 33)	NA	33444	NM_012467	25823	Hs.592076	NM_012467	ENSG00000116176	TPSG1	PRSS31|TMT|trpA	tryptase gamma 1	protein-coding
MACS_peak_4893	chr8	101919721	101920754	+	501.63	NA	Intergenic	NA	42562	NM_001135702	7534	Hs.492407	NM_003406	ENSG00000164924	YWHAZ	14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|POPCHAS|YWHAD	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
MACS_peak_4705	chr7	140009908	140010799	+	501.56	NA	Intergenic	NA	87977	NR_156491	84255	Hs.446021	NM_032295	ENSG00000157800	SLC37A3	-	solute carrier family 37 member 3	protein-coding
MACS_peak_2799	chr2	106139124	106139636	+	501.41	NA	Intergenic	NA	-84410	NM_201557	2274	Hs.443687	NM_001450	ENSG00000115641	FHL2	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	four and a half LIM domains 2	protein-coding
MACS_peak_4767	chr8	17385239	17385785	+	500.43	NA	intron (NM_001370338, intron 2 of 12)	NA	-10774	NM_003046	6542	Hs.448520	NM_003046	ENSG00000003989	SLC7A2	ATRC2|CAT2|HCAT2	solute carrier family 7 member 2	protein-coding
MACS_peak_3771	chr3	169341686	169342193	+	499.29	NA	intron (NM_001366473, intron 1 of 15)	NA	39561	NM_001366466	2122	Hs.656395	NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|KMT8E|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MDS1 and EVI1 complex locus	protein-coding
MACS_peak_2513	chr19	19660553	19661119	+	498.46	NA	Intergenic	NA	11762	NM_153221	148113	Hs.279574	NM_153221	ENSG00000160161	CILP2	CLIP-2	cartilage intermediate layer protein 2	protein-coding
MACS_peak_3595	chr3	57063610	57064325	+	497.43	NA	intron (NM_001128615, intron 2 of 12)	NA	-30725	NM_181727	353324	Hs.129794	NM_181727	ENSG00000186451	SPATA12	SRG5	spermatogenesis associated 12	protein-coding
MACS_peak_456	chr10	6339635	6340452	+	497.34	NA	Intergenic	NA	-28464	NR_040079	399715		NR_040079	ENSG00000215244	LINC02649	-	long intergenic non-protein coding RNA 2649	ncRNA
MACS_peak_3216	chr20	61275423	61276078	+	496.39	NA	intron (NM_016354, intron 1 of 11)	NA	1895	NM_016354	28231	Hs.235782	NM_016354	ENSG00000101187	SLCO4A1	OATP-E|OATP1|OATP4A1|OATPE|OATPRP1|POAT|SLC21A12	solute carrier organic anion transporter family member 4A1	protein-coding
MACS_peak_896	chr11	70606107	70606791	+	496.36	NA	intron (NM_012309, intron 11 of 22)	NA	-98503	NR_110766	22941	Hs.268726	NM_012309	ENSG00000162105	SHANK2	AUTS17|CORTBP1|CTTNBP1|ProSAP1|SHANK|SPANK-3	SH3 and multiple ankyrin repeat domains 2	protein-coding
MACS_peak_3586	chr3	53056875	53057488	+	495.38	NA	intron (NM_016329, intron 1 of 20)	NA	22908	NM_016329	51460	Hs.343679	NM_016329	ENSG00000163935	SFMBT1	RU1|SFMBT|hSFMBT	Scm like with four mbt domains 1	protein-coding
MACS_peak_5206	chr9	130817762	130818578	+	493.48	NA	Intergenic	NA	11429	NM_197956	203245	Hs.373606	NM_197956	ENSG00000171169	NAIF1	C9orf90|bA379C10.2	nuclear apoptosis inducing factor 1	protein-coding
MACS_peak_80	chr1	24896854	24897373	+	493.35	NA	intron (NM_001010980, intron 1 of 3)	NA	14535	NM_001010980	400746	Hs.200253	NM_001010980	ENSG00000184454	NCMAP	C1orf130|MP11	non-compact myelin associated protein	protein-coding
MACS_peak_1222	chr12	122186698	122187218	+	493.02	NA	intron (NM_001080825, intron 3 of 11)	NA	36300	NM_001080825	144404	Hs.644504	NM_001080825	ENSG00000188735	TMEM120B	-	transmembrane protein 120B	protein-coding
MACS_peak_3837	chr4	1239164	1239819	+	492.70	NA	intron (NM_001012614, intron 1 of 9)	NA	3427	NM_001328	1487	Hs.208597	NM_001328	ENSG00000159692	CTBP1	BARS|HADDTS	C-terminal binding protein 1	protein-coding
MACS_peak_3704	chr3	129627010	129627633	+	492.45	NA	non-coding (NR_037893, exon 3 of 3)	NA	14607	NR_037893	100507032	Hs.529562	NR_037893	ENSG00000271270	TMCC1-AS1	-	TMCC1 antisense RNA 1 (head to head)	ncRNA
MACS_peak_5323	chrX	106586352	106586976	+	492.15	NA	Intergenic	NA	136802	NM_001169154	139212	Hs.128836	NM_173494	ENSG00000080572	PIH1D3	CILD36|CXorf41|DNAAF6|NYSAR97|TWISTER	PIH1 domain containing 3	protein-coding
MACS_peak_432	chr1	247267579	247268105	+	491.03	NA	promoter-TSS (NM_024804)	NA	29	NR_147502	400812	Hs.558907	NR_147502		FLJ39095	-	uncharacterized LOC400812	ncRNA
MACS_peak_3288	chr21	41357072	41357810	+	490.60	NA	Intergenic	NA	118077	NM_006198	5121	Hs.80296	NM_006198	ENSG00000183036	PCP4	PEP-19	Purkinje cell protein 4	protein-coding
MACS_peak_5270	chrX	17843518	17844449	+	489.84	NA	intron (NM_001172732, intron 1 of 2)	NA	34964	NR_033348	10742	Hs.446680	NM_021785	ENSG00000131831	RAI2	-	retinoic acid induced 2	protein-coding
MACS_peak_2439	chr19	3389897	3390601	+	489.83	NA	intron (NM_001245005, intron 2 of 9)	NA	23668	NM_001245004	4782	Hs.170131	NM_005597	ENSG00000141905	NFIC	CTF|CTF5|NF-I|NFI	nuclear factor I C	protein-coding
MACS_peak_2697	chr2	42587791	42588274	+	489.53	NA	promoter-TSS (NR_134948)	NA	325	NM_001319038	9167	Hs.339639	NM_004718	ENSG00000115944	COX7A2L	COX7AR|COX7RP|EB1|SIG81	cytochrome c oxidase subunit 7A2 like	protein-coding
MACS_peak_412	chr1	226249388	226250242	+	489.48	NA	promoter-TSS (NR_002315)	NA	-602	NM_002107	3020	Hs.533624	NM_002107	ENSG00000163041	H3F3A	H3.3A|H3F3	H3 histone family member 3A	protein-coding
MACS_peak_1654	chr15	44486606	44487267	+	488.81	NA	promoter-TSS (NM_001286490)	NA	-292	NM_001286490	84978	Hs.578544	NM_032892	ENSG00000171877	FRMD5	-	FERM domain containing 5	protein-coding
MACS_peak_1077	chr12	46595094	46595709	+	488.31	NA	intron (NM_030674, intron 12 of 16)	NA	64898	NM_001278389	81539	Hs.533770	NM_030674	ENSG00000111371	SLC38A1	ATA1|NAT2|SAT1|SNAT1	solute carrier family 38 member 1	protein-coding
MACS_peak_3779	chr3	174854340	174854813	+	487.98	NA	intron (NM_207015, intron 2 of 13)	NA	-21544	NR_046390	100862679	Hs.148810	NR_046390	ENSG00000230292	NAALADL2-AS3	-	NAALADL2 antisense RNA 3	ncRNA
MACS_peak_787	chr11	13356868	13357454	+	487.89	NA	intron (NM_001351821, intron 3 of 19)	NA	57887	NM_001351821	406	Hs.65734	NM_001178	ENSG00000133794	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	aryl hydrocarbon receptor nuclear translocator like	protein-coding
MACS_peak_4954	chr8	129253314	129253812	+	487.61	NA	Intergenic	NA	91201	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
MACS_peak_4794	chr8	28005135	28005891	+	486.89	NA	intron (NM_018091, intron 10 of 14)	NA	54857	NM_018091	55140	Hs.491336	NM_018091	ENSG00000134014	ELP3	KAT9	elongator acetyltransferase complex subunit 3	protein-coding
MACS_peak_4144	chr5	117345424	117345998	+	486.48	NA	intron (NR_104997, intron 2 of 2)	NA	-272558	NR_104609	100505811	Hs.369776	NR_104609	ENSG00000250427	LINC02148	HNCAT21	long intergenic non-protein coding RNA 2148	ncRNA
MACS_peak_902	chr11	71192391	71193156	+	486.02	NA	intron (NM_018161, intron 12 of 20)	NA	8224	NR_106812	102466728		NR_106812	ENSG00000278349	MIR6754	hsa-mir-6754	microRNA 6754	ncRNA
