PeakID (cmd=annotatePeaks.pl ESR1_T2D.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_139	chr11	10764407	10764740	+	158.46	NA	Intergenic	NA	-8220	NM_014633	9646	Hs.725151	NM_014633	ENSG00000198730	CTR9	SH2BP1|TSBP|p150|p150TSP	CTR9 homolog, Paf1/RNA polymerase II complex component	protein-coding
MACS_peak_411	chr17	75282979	75283489	+	158.09	NA	promoter-TSS (NM_001113492)	NA	-739	NM_001113492	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
MACS_peak_498	chr2	100253114	100253456	+	157.87	NA	intron (NM_002285, intron 12 of 23)	NA	-146806	NR_135650	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1 DNA directed polymerase	protein-coding
MACS_peak_933	chr9	108132455	108132746	+	157.58	NA	intron (NM_001330731, intron 12 of 15)	NA	-77715	NM_001330739	83856	Hs.136901	NM_031919	ENSG00000106701	FSD1L	CCDC10|CSDUFD1|FSD1CL|FSD1NL|MIR1	fibronectin type III and SPRY domain containing 1 like	protein-coding
MACS_peak_958	chr9	131955923	131956308	+	157.02	NA	Intergenic	NA	-15575	NM_203434	389792	Hs.529857	NM_203434	ENSG00000188483	IER5L	bA247A12.2	immediate early response 5 like	protein-coding
MACS_peak_42	chr1	153483516	153483800	+	157.02	NA	Intergenic	NA	24809	NM_014624	6277	Hs.275243	NM_014624	ENSG00000197956	S100A6	2A9|5B10|CABP|CACY|PRA|S10A6	S100 calcium binding protein A6	protein-coding
MACS_peak_30	chr1	109638950	109639362	+	157.02	NA	non-coding (NR_136243, exon 2 of 2)	NA	-3659	NR_003023	677766	Hs.550815	NR_003023	ENSG00000278249	SCARNA2	HBII-382|mgU2-25/61	small Cajal body-specific RNA 2	ncRNA
MACS_peak_15	chr1	42333910	42334195	+	156.94	NA	intron (NR_038261, intron 2 of 3)	NA	50541	NR_038260	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
MACS_peak_407	chr17	71608207	71608621	+	156.82	NA	intron (NM_001144952, intron 1 of 44)	NA	32170	NM_001144952	54549	Hs.435719	NM_019064	ENSG00000069188	SDK2	-	sidekick cell adhesion molecule 2	protein-coding
MACS_peak_348	chr16	70170611	70170842	+	156.78	NA	intron (NM_001322118, intron 8 of 16)	NA	23197	NM_017990	55066	Hs.744043	NM_017990	ENSG00000090857	PDPR	PDP3	pyruvate dehydrogenase phosphatase regulatory subunit	protein-coding
MACS_peak_214	chr12	125478377	125478802	+	155.96	NA	intron (NM_080626, intron 1 of 2)	NA	398	NM_080626	140707	Hs.596464	NM_080626	ENSG00000184992	BRI3BP	BNAS1|HCCR-1|HCCR-2|HCCRBP-1|HCCRBP-3|KG19	BRI3 binding protein	protein-coding
MACS_peak_300	chr15	63680001	63680385	+	155.27	NA	Intergenic	NA	-2236	NR_120375	102723344	Hs.569500	NR_120375		LINC02568	-	long intergenic non-protein coding RNA 2568	ncRNA
MACS_peak_183	chr12	45990043	45990479	+	154.46	NA	Intergenic	NA	131443	NR_028408	400027	Hs.597122	NR_028408		LINC00938	-	long intergenic non-protein coding RNA 938	ncRNA
MACS_peak_505	chr2	122246872	122247243	+	152.13	NA	intron (NM_015282, intron 8 of 38)	NA	-41399	NR_023343	100151683	Hs.689638	NR_023343	ENSG00000264229	RNU4ATAC	MOPD1|RFMN|RNU4ATAC1|TALS|U4ATAC	RNA, U4atac small nuclear (U12-dependent splicing)	snRNA
MACS_peak_515	chr2	151734240	151734613	+	152.13	NA	Intergenic	NA	249015	NR_110245	101929282	Hs.126866	NR_110244	ENSG00000224048	LINC02612	-	long intergenic non-protein coding RNA 2612	ncRNA
MACS_peak_360	chr16	85339698	85340151	+	152.13	NA	promoter-TSS (NR_049816)	NA	7	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
MACS_peak_219	chr13	33919787	33920095	+	151.94	NA	intron (NM_001243476, intron 5 of 17)	NA	-10538	NR_146541	105370154		NR_146541		LINC02344	-	long intergenic non-protein coding RNA 2344	ncRNA
MACS_peak_126	chr10	106240637	106241003	+	151.52	NA	promoter-TSS (NR_120624)	NA	-787	NR_120624	101927523	Hs.407539	NR_120624	ENSG00000225768	LINC02620	-	long intergenic non-protein coding RNA 2620	ncRNA
MACS_peak_182	chr12	31926383	31926694	+	151.30	NA	Intergenic	NA	18694	NM_001013699	440093	Hs.448697	NM_001013699	ENSG00000188375	H3F3C	H3.5	H3 histone family member 3C	protein-coding
MACS_peak_224	chr13	65788596	65789049	+	149.70	NA	Intergenic	NA	-651357	NR_132362	105370242	Hs.578051	NR_132362		LINC01052	-	long intergenic non-protein coding RNA 1052	ncRNA
MACS_peak_900	chr8	122163117	122163576	+	148.91	NA	Intergenic	NA	-339060	NM_021021	6641	Hs.46701	NM_021021	ENSG00000172164	SNTB1	59-DAP|A1B|BSYN2|DAPA1B|SNT2|SNT2B1|TIP-43	syntrophin beta 1	protein-coding
MACS_peak_843	chr7	75936347	75936789	+	148.33	NA	Intergenic	NA	4578	NM_001540	3315	Hs.520973	NM_001540	ENSG00000106211	HSPB1	CMT2F|HEL-S-102|HMN2B|HS.76067|HSP27|HSP28|Hsp25|SRP27	heat shock protein family B (small) member 1	protein-coding
MACS_peak_617	chr22	34256351	34256707	+	146.90	NA	intron (NM_001362949, intron 1 of 15)	NA	59887	NM_133642	9215	Hs.474667	NM_004737	ENSG00000133424	LARGE1	LARGE|MDC1D|MDDGA6|MDDGB6	LARGE xylosyl- and glucuronyltransferase 1	protein-coding
MACS_peak_168	chr11	100904841	100905134	+	146.43	NA	non-coding (NR_073143, exon 6 of 6)	NA	94807	NM_001202474	5241	Hs.32405	NM_000926	ENSG00000082175	PGR	NR3C3|PR	progesterone receptor	protein-coding
MACS_peak_334	chr16	14464097	14464377	+	144.81	NA	promoter-TSS (NR_131191)	NA	-114	NR_131191	105447648	Hs.554151	NR_131191	ENSG00000260009	LINC02130	-	long intergenic non-protein coding RNA 2130	ncRNA
MACS_peak_815	chr7	2579156	2579446	+	142.64	NA	intron (NM_152743, intron 11 of 13)	NA	12593	NR_039791	100616116		NR_039791	ENSG00000264357	MIR4648	-	microRNA 4648	ncRNA
MACS_peak_373	chr17	6579384	6579676	+	142.21	NA	Intergenic	NA	18492	NR_045985	100652883	Hs.549540	NR_045985		ALOX15P1	ALOX15P	arachidonate 15-lipoxygenase pseudogene 1	pseudo
MACS_peak_528	chr2	172944979	172945381	+	140.91	NA	non-coding (NR_136273, exon 9 of 9)	NA	-5055	NM_178120	1745	Hs.407015	NM_178120	ENSG00000144355	DLX1	-	distal-less homeobox 1	protein-coding
MACS_peak_490	chr2	76605200	76605689	+	140.71	NA	Intergenic	NA	-607647	NR_110284	101927907	Hs.382185	NR_110284	ENSG00000234653	LOC101927907	-	uncharacterized LOC101927907	ncRNA
MACS_peak_180	chr12	26254408	26254774	+	140.60	NA	Intergenic	NA	23379	NM_030762	79365	Hs.177841	NM_030762	ENSG00000123095	BHLHE41	BHLHB3|DEC2|SHARP1|hDEC2	basic helix-loop-helix family member e41	protein-coding
MACS_peak_809	chr6	151979208	151979620	+	140.28	NA	Intergenic	NA	-32217	NM_001122742	2099	Hs.208124	NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
MACS_peak_31	chr1	109693985	109694169	+	140.08	NA	intron (NM_001284352, intron 1 of 20)	NA	-35094	NM_001284353	57535	Hs.708190	NM_020775	ENSG00000116299	KIAA1324	EIG121	KIAA1324	protein-coding
MACS_peak_271	chr14	95102997	95103460	+	139.76	NA	Intergenic	NA	-3834	NR_015340	388007	Hs.527795	NR_015340	ENSG00000187483	SERPINA13P	SERPINA13|UNQ6121	serpin family A member 13, pseudogene	pseudo
MACS_peak_666	chr3	140660246	140660604	+	139.51	NA	promoter-TSS (NM_001104647)	NA	-253	NM_001104647	55186	Hs.144130	NM_018155	ENSG00000114120	SLC25A36	PNC2	solute carrier family 25 member 36	protein-coding
MACS_peak_932	chr9	102582055	102582317	+	139.35	NA	promoter-TSS (NR_109802)	NA	-15	NR_109802	101928438	Hs.637767	NR_109802	ENSG00000237461	LOC101928438	-	uncharacterized LOC101928438	ncRNA
MACS_peak_48	chr1	162129246	162129553	+	139.09	NA	intron (NM_001164757, intron 2 of 9)	NA	2502	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA
MACS_peak_484	chr2	46047802	46048177	+	139.01	NA	intron (NM_005400, intron 1 of 14)	NA	169175	NM_005400	5581	Hs.580351	NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
MACS_peak_689	chr3	174854423	174854768	+	138.99	NA	intron (NM_207015, intron 2 of 13)	NA	-21563	NR_046390	100862679	Hs.148810	NR_046390	ENSG00000230292	NAALADL2-AS3	-	NAALADL2 antisense RNA 3	ncRNA
MACS_peak_72	chr10	1311081	1311354	+	138.55	NA	intron (NM_018702, intron 4 of 9)	NA	105509	NR_015376	399706	Hs.721191	NM_001010910	ENSG00000229205	LINC00200	C10orf139|NCRNA00200	long intergenic non-protein coding RNA 200	ncRNA
MACS_peak_752	chr5	55027422	55027673	+	137.97	NA	Intergenic	NA	-6298	NM_001166533	54514	Hs.223581	NM_019039	ENSG00000152670	DDX4	VASA	DEAD-box helicase 4	protein-coding
MACS_peak_679	chr3	159919533	159919887	+	137.85	NA	intron (NR_108088, intron 1 of 9)	NA	5169	NR_108088	101928376	Hs.565865	NR_108088	ENSG00000244040	IL12A-AS1	ILAS1-AS1	IL12A antisense RNA 1	ncRNA
MACS_peak_564	chr20	43394279	43394639	+	136.42	NA	intron (NM_182970, intron 2 of 5)	NA	-19591	NR_132377	106144538	Hs.255479	NR_132377		KCNK15-AS1	-	KCNK15 and WISP2 antisense RNA 1	ncRNA
MACS_peak_222	chr13	46933834	46934224	+	136.42	NA	intron (NM_001286761, intron 8 of 14)	NA	27358	NM_001286762	80183	Hs.98117	NM_025113	ENSG00000102445	RUBCNL	C13orf18|KIAA0226L|PACER	rubicon like autophagy enhancer	protein-coding
MACS_peak_390	chr17	49021684	49022158	+	136.32	NA	Intergenic	NA	-76582	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
MACS_peak_115	chr10	76586386	76586755	+	136.31	NA	intron (NM_001370142, intron 1 of 16)	NA	212	NM_001370135	23522	Hs.35758	NM_012330	ENSG00000156650	KAT6B	GTPTS|MORF|MOZ2|MYST4|ZC2HC6B|qkf|querkopf	lysine acetyltransferase 6B	protein-coding
MACS_peak_593	chr21	16235710	16235913	+	136.08	NA	intron (NR_146322, intron 1 of 3)	NA	55178	NR_146322	107987295		NR_146322		LINC02246	-	long intergenic non-protein coding RNA 2246	ncRNA
MACS_peak_460	chr19	54600197	54600525	+	135.04	NA	exon (NM_130771, exon 5 of 7)	NA	5633	NM_133168	126014	Hs.347655	NM_130771	ENSG00000170909	OSCAR	PIGR3|PIgR-3	osteoclast associated Ig-like receptor	protein-coding
MACS_peak_578	chr20	55204243	55204667	+	134.17	NA	promoter-TSS (NM_003222)	NA	93	NM_003222	7022	Hs.473152	NM_003222	ENSG00000087510	TFAP2C	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	transcription factor AP-2 gamma	protein-coding
MACS_peak_967	chrX	39754419	39754752	+	134.11	NA	Intergenic	NA	57770	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
MACS_peak_662	chr3	124552626	124552896	+	133.76	NA	intron (NM_001354766, intron 5 of 13)	NA	53451	NM_002213	3693	Hs.13155	NM_002213	ENSG00000082781	ITGB5	-	integrin subunit beta 5	protein-coding
MACS_peak_393	chr17	55420286	55420573	+	133.65	NA	intron (NM_001322250, intron 5 of 13)	NA	86049	NM_170721	124540	Hs.658922	NM_138962	ENSG00000153944	MSI2	MSI2H	musashi RNA binding protein 2	protein-coding
MACS_peak_914	chr9	4756085	4756496	+	132.69	NA	Intergenic	NA	-14247	NM_001199853	50808	Hs.732022	NM_016282	ENSG00000147853	AK3	AK3L1|AK6|AKL3L|AKL3L1|FIX	adenylate kinase 3	protein-coding
MACS_peak_416	chr18	108026	109010	+	132.58	NA	promoter-TSS (NR_033770)	NA	-547	NR_033770	727758	Hs.585843	NR_033770	ENSG00000263006	ROCK1P1	ROCK1P	Rho associated coiled-coil containing protein kinase 1 pseudogene 1	pseudo
MACS_peak_713	chr4	84505572	84505799	+	132.47	NA	intron (NM_001256421, intron 4 of 12)	NA	48424	NM_032717	84803	Hs.99196	NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
MACS_peak_859	chr8	8146579	8146977	+	132.03	NA	Intergenic	NA	60686	NR_024363	286042	Hs.656318	NR_024361	ENSG00000173295	FAM86B3P	-	family with sequence similarity 86, member A pseudogene	pseudo
MACS_peak_553	chr20	19264233	19264507	+	131.72	NA	intron (NR_024564, intron 1 of 7)	NA	870	NR_024564	100130264	Hs.683814	NR_024564	ENSG00000179447	LOC100130264	-	uncharacterized LOC100130264	ncRNA
MACS_peak_184	chr12	46850115	46850400	+	131.66	NA	intron (NR_125378, intron 3 of 3)	NA	72367	NR_125381	100288798	Hs.525922	NR_125377		LOC100288798	-	uncharacterized LOC100288798	ncRNA
MACS_peak_193	chr12	69358896	69359216	+	131.58	NA	Intergenic	NA	-2036	NM_001874	1368	Hs.654387	NM_001874	ENSG00000135678	CPM	-	carboxypeptidase M	protein-coding
MACS_peak_122	chr10	99331457	99331810	+	129.70	NA	promoter-TSS (NM_001291218)	NA	-565	NM_001291218	26287	Hs.73708	NM_020349	ENSG00000165887	ANKRD2	ARPP	ankyrin repeat domain 2	protein-coding
MACS_peak_380	chr17	38337058	38337348	+	129.63	NA	intron (NM_016339, intron 2 of 15)	NA	3480	NM_016339	51195	Hs.632254	NM_016339	ENSG00000108352	RAPGEFL1	Link-GEFII	Rap guanine nucleotide exchange factor like 1	protein-coding
MACS_peak_709	chr4	40264662	40264958	+	129.34	NA	Intergenic	NA	-44392	NR_121641	101060498	Hs.351492	NR_121640	ENSG00000249241	LINC02265	-	long intergenic non-protein coding RNA 2265	ncRNA
MACS_peak_706	chr4	5981696	5981988	+	129.24	NA	intron (NM_001364689, intron 7 of 11)	NA	38431	NM_001364690	389197	Hs.479065	NM_207405	ENSG00000181215	C4orf50	-	chromosome 4 open reading frame 50	protein-coding
MACS_peak_367	chr16	88595922	88596344	+	127.95	NA	intron (NM_153813, intron 6 of 9)	NA	1328	NR_148997	100128882	Hs.722546	NR_148997	ENSG00000261744	LOC100128882	-	uncharacterized LOC100128882	ncRNA
MACS_peak_316	chr15	78427713	78428028	+	126.75	NA	Intergenic	NA	-3993	NR_125435	10518	Hs.129867	NM_006383	ENSG00000136425	CIB2	DFNB48|KIP2|USH1J	calcium and integrin binding family member 2	protein-coding
MACS_peak_344	chr16	50278335	50278640	+	126.73	NA	Intergenic	NA	-21975	NM_001114	113	Hs.513578	NM_001114	ENSG00000121281	ADCY7	AC7	adenylate cyclase 7	protein-coding
MACS_peak_650	chr3	63918580	63919130	+	126.68	NA	intron (NM_001177387, intron 3 of 12)	NA	-21407	NR_148359	100861563		NR_148359	ENSG00000280620	SCAANT1	ATXN7-AS1	SCA7/ATXN7 antisense RNA 1	ncRNA
MACS_peak_877	chr8	69766716	69767082	+	126.15	NA	Intergenic	NA	249526	NR_039986	100505718	Hs.122386	NR_039986	ENSG00000253658	LINC01592	-	long intergenic non-protein coding RNA 1592	ncRNA
MACS_peak_245	chr14	64701659	64701984	+	126.15	NA	exon (NM_001437, exon 8 of 9)	NA	19149	NM_182910	23224	Hs.745014	NM_015180	ENSG00000054654	SYNE2	EDMD5|KASH2|NUA|NUANCE|Nesp2|Nesprin-2|SYNE-2|TROPH	spectrin repeat containing nuclear envelope protein 2	protein-coding
MACS_peak_254	chr14	75125162	75125590	+	126.12	NA	Intergenic	NA	-46436	NM_000428	4053	Hs.512776	NM_000428	ENSG00000119681	LTBP2	C14orf141|GLC3D|LTBP3|MSPKA|MSTP031|WMS3	latent transforming growth factor beta binding protein 2	protein-coding
MACS_peak_828	chr7	47572064	47572365	+	125.92	NA	intron (NM_022748, intron 1 of 30)	NA	49495	NM_022748	64759	Hs.520814	NM_022748	ENSG00000136205	TNS3	TEM6|TENS1	tensin 3	protein-coding
MACS_peak_549	chr2	238418736	238419107	+	124.90	NA	promoter-TSS (NR_106869)	NA	-653	NR_106869	102465486		NR_106869	ENSG00000277842	MIR6811	hsa-mir-6811	microRNA 6811	ncRNA
MACS_peak_178	chr12	12419919	12420169	+	124.86	NA	promoter-TSS (NM_002336)	NA	-66	NM_002336	4040	Hs.584775	NM_002336	ENSG00000070018	LRP6	ADCAD2|STHAG7	LDL receptor related protein 6	protein-coding
MACS_peak_886	chr8	101920136	101920393	+	122.64	NA	Intergenic	NA	42535	NM_001135702	7534	Hs.492407	NM_003406	ENSG00000164924	YWHAZ	14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|POPCHAS|YWHAD	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
MACS_peak_359	chr16	85322565	85322923	+	122.64	NA	Intergenic	NA	6180	NR_038859	197196	Hs.679002	NM_153238	ENSG00000179219	LINC00311	NCRNA00311|TMEM148	long intergenic non-protein coding RNA 311	ncRNA
MACS_peak_392	chr17	54968219	54968500	+	122.57	NA	TTS (NR_037408)	NA	357	NR_037408	100500827		NR_037408	ENSG00000284542	MIR3614	mir-3614	microRNA 3614	ncRNA
MACS_peak_880	chr8	95104875	95105191	+	122.33	NA	Intergenic	NA	115750	NM_004063	1015	Hs.591853	NM_004063	ENSG00000079112	CDH17	CDH16|HPT-1|HPT1	cadherin 17	protein-coding
MACS_peak_539	chr2	212287858	212288106	+	122.33	NA	intron (NM_001042599, intron 23 of 26)	NA	805687	NR_002763	29034	Hs.658398	NR_002763	ENSG00000280837	CPS1-IT1	CPS1-IT|CPS1IT|CPS1IT1|PRO0132	CPS1 intronic transcript 1	ncRNA
MACS_peak_179	chr12	14972981	14973290	+	122.33	NA	intron (NM_175874, intron 1 of 1)	NA	-6019	NM_001013698	440087	Hs.220931	NM_001013698	ENSG00000179256	SMCO3	C12orf69	single-pass membrane protein with coiled-coil domains 3	protein-coding
MACS_peak_816	chr7	2728782	2729128	+	122.33	NA	intron (NM_001284355, intron 1 of 5)	NA	1119	NM_001321766	155185	Hs.42221	NM_133463	ENSG00000174945	AMZ1	-	archaelysin family metallopeptidase 1	protein-coding
MACS_peak_712	chr4	83812389	83812688	+	121.22	NA	promoter-TSS (NM_001318119)	NA	-105	NM_001077206	22872	Hs.370024	NM_014933	ENSG00000138674	SEC31A	ABP125|ABP130|HSPC275|HSPC334|SEC31L1	SEC31 homolog A, COPII coat complex component	protein-coding
MACS_peak_166	chr11	93383728	93384070	+	120.18	NA	Intergenic	NA	-10949	NM_033395	85459	Hs.458418	NM_033395	ENSG00000166004	CEP295	KIAA1731	centrosomal protein 295	protein-coding
MACS_peak_804	chr6	125523398	125523682	+	119.63	NA	intron (NM_001292026, intron 1 of 4)	NA	-1317	NM_001318907	7164	Hs.591347	NM_003287	ENSG00000111907	TPD52L1	D53	TPD52 like 1	protein-coding
MACS_peak_69	chr1	226249653	226249978	+	119.61	NA	promoter-TSS (NR_002315)	NA	-602	NM_002107	3020	Hs.533624	NM_002107	ENSG00000163041	H3F3A	H3.3A|H3F3	H3 histone family member 3A	protein-coding
MACS_peak_768	chr5	172880361	172880654	+	118.84	NA	Intergenic	NA	106049	NR_107023	102465862		NR_107023	ENSG00000274994	MIR8056	hsa-mir-8056	microRNA 8056	ncRNA
MACS_peak_46	chr1	155349460	155349736	+	118.65	NA	intron (NM_001366177, intron 8 of 27)	NA	-33362	NR_030282	693140		NR_030282	ENSG00000283701	MIR555	MIRN555|hsa-mir-555	microRNA 555	ncRNA
MACS_peak_82	chr10	8767919	8768321	+	118.60	NA	Intergenic	NA	-131766	NR_134492	105376398	Hs.63158	NR_134492		LOC105376398	-	uncharacterized LOC105376398	ncRNA
MACS_peak_2	chr1	9923046	9923328	+	118.42	NA	intron (NM_001012329, intron 4 of 4)	NA	-38603	NM_014944	22883	Hs.29665	NM_014944	ENSG00000171603	CLSTN1	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	calsyntenin 1	protein-coding
MACS_peak_794	chr6	83799932	83800190	+	118.37	NA	intron (NM_015018, intron 1 of 38)	NA	22676	NM_001199942	23033	Hs.520246	NM_015018	ENSG00000083097	DOP1A	DOP1|DOPEY1|KIAA1117|dJ202D23.2	DOP1 leucine zipper like protein A	protein-coding
MACS_peak_579	chr20	55310266	55310644	+	118.16	NA	Intergenic	NA	106093	NM_003222	7022	Hs.473152	NM_003222	ENSG00000087510	TFAP2C	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	transcription factor AP-2 gamma	protein-coding
MACS_peak_767	chr5	171662569	171662857	+	117.30	NA	intron (NM_152277, intron 1 of 2)	NA	41537	NM_001171183	285588	Hs.716824	NM_001171183	ENSG00000214360	EFCAB9	-	EF-hand calcium binding domain 9	protein-coding
MACS_peak_700	chr3	197318719	197318989	+	117.15	NA	Intergenic	NA	-18660	NM_203315	622	Hs.274539	NM_004051	ENSG00000161267	BDH1	BDH|SDR9C1	3-hydroxybutyrate dehydrogenase 1	protein-coding
MACS_peak_6	chr1	12609653	12609943	+	116.93	NA	Intergenic	NA	29253	NR_106788	102466722		NR_106788	ENSG00000276830	MIR6730	hsa-mir-6730	microRNA 6730	ncRNA
MACS_peak_541	chr2	216081596	216081887	+	116.75	NA	Intergenic	NA	-78392	NR_103740	26154	Hs.134585	NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding
MACS_peak_624	chr22	41128723	41129002	+	116.10	NA	Intergenic	NA	53680	NM_005297	2847	Hs.248122	NM_005297	ENSG00000128285	MCHR1	GPR24|MCH-1R|MCH1R|SLC-1|SLC1	melanin concentrating hormone receptor 1	protein-coding
MACS_peak_194	chr12	69833806	69834195	+	116.10	NA	Intergenic	NA	-30168	NM_001278354	10818	Hs.593446	NM_006654	ENSG00000166225	FRS2	FRS1A|FRS2A|FRS2alpha|SNT|SNT-1|SNT1	fibroblast growth factor receptor substrate 2	protein-coding
MACS_peak_70	chr1	228619581	228619884	+	115.66	NA	Intergenic	NA	-6706	NM_003493	8290	Hs.248171	NM_003493	ENSG00000168148	HIST3H3	H3.4|H3/g|H3FT|H3t	histone cluster 3 H3	protein-coding
MACS_peak_332	chr16	8880257	8880537	+	115.22	NA	Intergenic	NA	11099	NM_015421	25880	Hs.513330	NM_015421	ENSG00000184857	TMEM186	C16orf51	transmembrane protein 186	protein-coding
MACS_peak_695	chr3	188816993	188817179	+	114.82	NA	Intergenic	NA	-72674	NM_198485	285386	Hs.729544	NM_198485	ENSG00000188001	TPRG1	FAM79B	tumor protein p63 regulated 1	protein-coding
MACS_peak_563	chr20	43343247	43343649	+	114.02	NA	promoter-TSS (NM_001323370)	NA	-37	NM_001323370	8839	Hs.592145	NM_003881	ENSG00000064205	CCN5	CT58|CTGF-L|WISP2	cellular communication network factor 5	protein-coding
MACS_peak_540	chr2	215243375	215243733	+	114.02	NA	intron (NR_047660, intron 14 of 14)	NA	-32224	NM_001345929	402117	Hs.534834	NM_001080500	ENSG00000174453	VWC2L	-	von Willebrand factor C domain containing 2 like	protein-coding
MACS_peak_512	chr2	134877550	134877885	+	113.59	NA	5' UTR (NM_001371457, exon 1 of 17)	NA	211	NM_001371457								
MACS_peak_865	chr8	17609475	17609730	+	113.37	NA	intron (NM_001001925, intron 2 of 13)	NA	-29518	NM_001166393	57509	Hs.7946	NM_020749	ENSG00000129422	MTUS1	ATBP|ATIP|ATIP3|ICIS|MP44|MTSG1	microtubule associated scaffold protein 1	protein-coding
MACS_peak_508	chr2	132192040	132192120	+	112.92	NA	Intergenic	NA	10387	NR_002826	401010	Hs.452369	NR_002826		NOC2LP2	-	NOC2 like nucleolar associated transcriptional repressor pseudogene 2	pseudo
MACS_peak_39	chr1	143283761	143283849	+	112.92	NA	Intergenic	NA	-81566	NR_110761	102723769	Hs.652926	NR_110761		LOC102723769	-	uncharacterized LOC102723769	ncRNA
MACS_peak_133	chr10	119853356	119853677	+	112.68	NA	intron (NR_026940, intron 3 of 3)	NA	-47064	NM_014904	22841	Hs.173656	NM_014904	ENSG00000107560	RAB11FIP2	Rab11-FIP2|nRip11	RAB11 family interacting protein 2	protein-coding
MACS_peak_626	chr22	46887883	46888159	+	112.47	NA	intron (NM_014246, intron 1 of 34)	NA	45496	NM_014246	9620	Hs.252387	NM_014246	ENSG00000075275	CELSR1	ADGRC1|CDHF9|FMI2|HFMI2|ME2	cadherin EGF LAG seven-pass G-type receptor 1	protein-coding
MACS_peak_220	chr13	34216964	34217211	+	112.43	NA	intron (NM_001243476, intron 3 of 17)	NA	33844	NM_001243476	90627	Hs.156551	NM_052851	ENSG00000133121	STARD13	ARHGAP37|DLC2|GT650|LINC00464	StAR related lipid transfer domain containing 13	protein-coding
MACS_peak_368	chr16	88993493	88993846	+	111.88	NA	intron (NM_005187, intron 1 of 11)	NA	-12776	NM_001290330	100129697	Hs.689377	NM_001290330		LOC100129697	-	uncharacterized LOC100129697	protein-coding
MACS_peak_554	chr20	24793002	24793253	+	111.64	NA	Intergenic	NA	-136778	NM_003650	8530	Hs.143212	NM_003650	ENSG00000077984	CST7	CMAP	cystatin F	protein-coding
MACS_peak_939	chr9	116846539	116846727	+	111.61	NA	Intergenic	NA	-6053	NM_001633	259	Hs.436911	NM_001633	ENSG00000106927	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	alpha-1-microglobulin/bikunin precursor	protein-coding
MACS_peak_779	chr6	15222203	15222460	+	111.26	NA	Intergenic	NA	-23969	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
MACS_peak_134	chr10	120385117	120385444	+	111.26	NA	Intergenic	NA	-30120	NM_004248	2834	Hs.248119	NM_004248	ENSG00000119973	PRLHR	GPR10|GR3|PrRPR	prolactin releasing hormone receptor	protein-coding
MACS_peak_212	chr12	119609029	119609293	+	111.26	NA	Intergenic	NA	5128	NR_134996	105370024	Hs.679286	NR_134996	ENSG00000256884	LOC105370024	-	uncharacterized LOC105370024	ncRNA
MACS_peak_704	chr4	3468669	3468906	+	111.15	NA	intron (NM_001363811, intron 2 of 7)	NA	3754	NM_001363811	285489	Hs.122110	NM_173660	ENSG00000175920	DOK7	C4orf25|CMS10|CMS1B|FADS3	docking protein 7	protein-coding
