PeakID (cmd=annotatePeaks.pl ESR1_WTD.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_42	chr11	30543250	30543590	+	140.79	NA	intron (NM_001145399, intron 3 of 6)	NA	58620	NM_001584	744	Hs.289795	NM_001584	ENSG00000066382	MPPED2	239FB|C11orf8	metallophosphoesterase domain containing 2	protein-coding
MACS_peak_76	chr12	113659573	113659917	+	140.11	NA	promoter-TSS (NM_001330452)	NA	476	NM_001351346	53373	Hs.524763	NM_017901	ENSG00000186815	TPCN1	TPC1	two pore segment channel 1	protein-coding
MACS_peak_126	chr16	75063749	75064031	+	139.81	NA	intron (NM_032268, intron 1 of 4)	NA	30968	NM_032268	84937	Hs.427284	NM_032268	ENSG00000186187	ZNRF1	NIN283	zinc and ring finger 1	protein-coding
MACS_peak_312	chr9	115147234	115147498	+	139.34	NA	intron (NR_036651, intron 1 of 9)	NA	4978	NM_032303	84263	Hs.59486	NM_032303	ENSG00000119471	HSDL2	C9orf99|SDR13C1	hydroxysteroid dehydrogenase like 2	protein-coding
MACS_peak_219	chr3	13517632	13518009	+	137.29	NA	TTS (NR_046690)	NA	3733	NR_046690	100874101	Hs.535701	NR_046690	ENSG00000244502	HDAC11-AS1	-	HDAC11 antisense RNA 1	ncRNA
MACS_peak_191	chr2	216081586	216081865	+	135.94	NA	Intergenic	NA	-78376	NR_103740	26154	Hs.134585	NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding
MACS_peak_313	chr9	126090054	126090340	+	134.41	NA	Intergenic	NA	-28279	NM_173689	286204	Hs.568340	NM_173689	ENSG00000148204	CRB2	FSGS9|VMCKD	crumbs cell polarity complex component 2	protein-coding
MACS_peak_195	chr2	238467625	238467984	+	131.67	NA	Intergenic	NA	-7413	NM_015893	51052	Hs.247710	NM_015893	ENSG00000071677	PRLH	PRH|PRRP	prolactin releasing hormone	protein-coding
MACS_peak_296	chr8	98776340	98776626	+	131.60	NA	Intergenic	NA	-11533	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
MACS_peak_85	chr13	109739976	109740234	+	127.77	NA	intron (NM_015011, intron 27 of 34)	NA	79546	NR_047700	100885782	Hs.655942	NR_047700	ENSG00000236242	MYO16-AS1	-	MYO16 antisense RNA 1	ncRNA
MACS_peak_270	chr6	151979158	151979559	+	126.76	NA	Intergenic	NA	-32273	NM_001122742	2099	Hs.208124	NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
MACS_peak_323	chrX	139574451	139574814	+	123.74	NA	Intergenic	NA	12593	NM_005634	6658	Hs.157429	NM_005634	ENSG00000134595	SOX3	GHDX|MRGH|PHP|PHPX|SOXB	SRY-box transcription factor 3	protein-coding
MACS_peak_87	chr14	61094868	61095183	+	122.51	NA	Intergenic	NA	-10909	NR_126480	104548971		NR_126480		SALRNA1	SAL-RNA1|XLOC_023166	senescence associated long non-coding RNA 1	ncRNA
MACS_peak_88	chr14	62180736	62181074	+	122.20	NA	intron (NM_001243084, intron 1 of 14)	NA	16565	NM_001243084	3091	Hs.597216	NM_001530	ENSG00000100644	HIF1A	HIF-1-alpha|HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	hypoxia inducible factor 1 subunit alpha	protein-coding
MACS_peak_67	chr12	33762548	33762811	+	119.76	NA	Intergenic	NA	-169925	NM_198992	341359	Hs.118703	NM_198992	ENSG00000110975	SYT10	-	synaptotagmin 10	protein-coding
MACS_peak_103	chr15	64189036	64189398	+	118.94	NA	Intergenic	NA	-25999	NR_029944	494334		NR_029944	ENSG00000199156	MIR422A	MIRN422A	microRNA 422a	ncRNA
MACS_peak_186	chr2	163345851	163346223	+	116.40	NA	intron (NM_173162, intron 5 of 7)	NA	145159	NM_001330271	25801	Hs.377894	NM_012198	ENSG00000115271	GCA	GCL	grancalcin	protein-coding
MACS_peak_182	chr2	122246940	122247232	+	116.37	NA	intron (NM_015282, intron 8 of 38)	NA	-41370	NR_023343	100151683	Hs.689638	NR_023343	ENSG00000264229	RNU4ATAC	MOPD1|RFMN|RNU4ATAC1|TALS|U4ATAC	RNA, U4atac small nuclear (U12-dependent splicing)	snRNA
MACS_peak_243	chr4	105817837	105818166	+	115.67	NA	Intergenic	NA	-249031	NM_017628	54790	Hs.367639	NM_017628	ENSG00000168769	TET2	KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
MACS_peak_41	chr11	6336912	6337248	+	114.62	NA	Intergenic	NA	4651	NM_145040	112464	Hs.434044	NM_145040	ENSG00000170955	CAVIN3	HSRBC|PRKCDBP|SRBC|cavin-3	caveolae associated protein 3	protein-coding
MACS_peak_222	chr3	63918493	63918963	+	113.77	NA	intron (NM_001177387, intron 3 of 12)	NA	-21280	NR_148359	100861563		NR_148359	ENSG00000280620	SCAANT1	ATXN7-AS1	SCA7/ATXN7 antisense RNA 1	ncRNA
MACS_peak_256	chr6	6759000	6759415	+	113.45	NA	Intergenic	NA	-136148	NR_026970	285780	Hs.655737	NM_173675	ENSG00000216863	LY86-AS1	LY86-AS|LY86AS	LY86 antisense RNA 1	ncRNA
MACS_peak_236	chr4	3113163	3113564	+	113.45	NA	intron (NM_002111, intron 6 of 66)	NA	36955	NM_002111	3064	Hs.518450	NM_002111	ENSG00000197386	HTT	HD|IT15|LOMARS	huntingtin	protein-coding
MACS_peak_206	chr20	61045163	61045551	+	112.08	NA	intron (NM_080473, intron 3 of 6)	NA	5694	NM_080473	140628	Hs.352250	NM_080473	ENSG00000130700	GATA5	CHTD5|GATAS|bB379O24.1	GATA binding protein 5	protein-coding
MACS_peak_90	chr14	74223334	74223646	+	111.61	NA	intron (NM_001043318, intron 1 of 11)	NA	-1960	NR_039727	100616158		NR_039727	ENSG00000264741	MIR4505	mir-4505	microRNA 4505	ncRNA
MACS_peak_100	chr15	45976738	45977018	+	109.98	NA	intron (NM_021199, intron 7 of 9)	NA	-20515	NR_135680	105370802	Hs.447522	NR_135680	ENSG00000259200	LOC105370802	-	uncharacterized LOC105370802	ncRNA
MACS_peak_203	chr20	55204272	55204759	+	109.28	NA	5' UTR (NM_003222, exon 1 of 7)	NA	153	NM_003222	7022	Hs.473152	NM_003222	ENSG00000087510	TFAP2C	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	transcription factor AP-2 gamma	protein-coding
MACS_peak_107	chr15	75063325	75063581	+	108.62	NA	Intergenic	NA	-10968	NM_001127190	1445	Hs.77793	NM_004383	ENSG00000103653	CSK	-	C-terminal Src kinase	protein-coding
MACS_peak_170	chr2	38303192	38303586	+	107.86	NA	promoter-TSS (NM_000104)	NA	-66	NM_000104	1545	Hs.154654	NM_000104	ENSG00000138061	CYP1B1	ASGD6|CP1B|CYPIB1|GLC3A|P4501B1	cytochrome P450 family 1 subfamily B member 1	protein-coding
MACS_peak_28	chr10	71079143	71079490	+	105.27	NA	intron (NM_000188, intron 1 of 17)	NA	713	NM_000188	3098	Hs.370365	NM_000188	ENSG00000156515	HK1	HK|HK1-ta|HK1-tb|HK1-tc|HKD|HKI|HMSNR|HXK1|RP79|hexokinase	hexokinase 1	protein-coding
MACS_peak_6	chr1	19923195	19923448	+	104.02	NA	promoter-TSS (NR_135054)	NA	5	NR_135054	105378614	Hs.430098	NR_135054	ENSG00000235185	LOC105378614	-	uncharacterized LOC105378614	ncRNA
MACS_peak_38	chr10	112582354	112582709	+	103.92	NA	intron (NM_001134363, intron 11 of 13)	NA	48131	NR_026932	282997	Hs.599931	NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
MACS_peak_274	chr7	4722931	4723290	+	103.26	NA	intron (NM_001037165, intron 1 of 8)	NA	1184	NM_001037165	221937	Hs.487393	NM_001037165	ENSG00000164916	FOXK1	FOXK1L	forkhead box K1	protein-coding
MACS_peak_322	chrX	119619735	119620061	+	102.51	NA	Intergenic	NA	-16694	NM_013995	3920	Hs.496684	NM_002294	ENSG00000005893	LAMP2	CD107b|LAMP-2|LAMPB|LGP-96|LGP110	lysosomal associated membrane protein 2	protein-coding
MACS_peak_91	chr14	77577521	77577886	+	102.28	NA	intron (NM_033426, intron 3 of 3)	NA	13102	NM_033426	85457	Hs.709066	NM_033426	ENSG00000198894	CIPC	KIAA1737	CLOCK interacting pacemaker	protein-coding
MACS_peak_229	chr3	161119954	161120482	+	102.24	NA	Intergenic	NA	-23997	NR_102265	101243545	Hs.737526	NR_102265	ENSG00000240567	LINC02067	-	long intergenic non-protein coding RNA 2067	ncRNA
MACS_peak_69	chr12	53551709	53551993	+	101.97	NA	3' UTR (NM_001244706, exon 8 of 8)	NA	6426	NM_001244706	51380	Hs.279815	NM_015989	ENSG00000139631	CSAD	CSD|PCAP	cysteine sulfinic acid decarboxylase	protein-coding
MACS_peak_198	chr20	35215767	35216051	+	101.97	NA	intron (NM_001199535, intron 2 of 4)	NA	12952	NM_001199515	60436	Hs.632264	NM_021809	ENSG00000118707	TGIF2	-	TGFB induced factor homeobox 2	protein-coding
MACS_peak_249	chr5	35477049	35477373	+	101.97	NA	Intergenic	NA	-140754	NM_144722	79925	Hs.298863	NM_024867	ENSG00000152582	SPEF2	CT122|KPL2	sperm flagellar 2	protein-coding
MACS_peak_58	chr11	100904803	100905051	+	101.66	NA	non-coding (NR_073143, exon 6 of 6)	NA	94867	NM_001202474	5241	Hs.32405	NM_000926	ENSG00000082175	PGR	NR3C3|PR	progesterone receptor	protein-coding
MACS_peak_251	chr5	117345629	117345966	+	97.40	NA	intron (NR_104997, intron 2 of 2)	NA	-272472	NR_104609	100505811	Hs.369776	NR_104609	ENSG00000250427	LINC02148	HNCAT21	long intergenic non-protein coding RNA 2148	ncRNA
MACS_peak_259	chr6	36410523	36410896	+	96.99	NA	promoter-TSS (NM_173562)	NA	-68	NR_104480	222658	Hs.188757	NM_173562	ENSG00000112078	KCTD20	C6orf69|dJ108K11.3	potassium channel tetramerization domain containing 20	protein-coding
MACS_peak_79	chr13	33919713	33919992	+	96.79	NA	intron (NM_001243476, intron 5 of 17)	NA	-10449	NR_146541	105370154		NR_146541		LINC02344	-	long intergenic non-protein coding RNA 2344	ncRNA
MACS_peak_240	chr4	83812290	83812628	+	96.37	NA	promoter-TSS (NM_001318119)	NA	-26	NM_001077206	22872	Hs.370024	NM_014933	ENSG00000138674	SEC31A	ABP125|ABP130|HSPC275|HSPC334|SEC31L1	SEC31 homolog A, COPII coat complex component	protein-coding
MACS_peak_291	chr8	67434727	67435013	+	95.77	NA	Intergenic	NA	29069	NM_152765	254778	Hs.268869	NM_152765	ENSG00000169085	VXN	C8orf46	vexin	protein-coding
MACS_peak_214	chr22	34256354	34256653	+	93.94	NA	intron (NM_001362949, intron 1 of 15)	NA	59913	NM_133642	9215	Hs.474667	NM_004737	ENSG00000133424	LARGE1	LARGE|MDC1D|MDDGA6|MDDGB6	LARGE xylosyl- and glucuronyltransferase 1	protein-coding
MACS_peak_306	chr9	4756135	4756451	+	93.22	NA	Intergenic	NA	-14250	NM_001199853	50808	Hs.732022	NM_016282	ENSG00000147853	AK3	AK3L1|AK6|AKL3L|AKL3L1|FIX	adenylate kinase 3	protein-coding
MACS_peak_175	chr2	65527286	65527641	+	93.19	NA	Intergenic	NA	66449	NM_001128210	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
MACS_peak_55	chr11	82715127	82715510	+	93.19	NA	intron (NM_001286060, intron 1 of 4)	NA	29998	NM_001286059	27314	Hs.40758	NM_014488	ENSG00000137502	RAB30	-	RAB30, member RAS oncogene family	protein-coding
MACS_peak_106	chr15	74002488	74002811	+	93.19	NA	intron (NM_001024736, intron 8 of 9)	NA	25538	NM_001329628	80381	Hs.744915	NM_025240	ENSG00000103855	CD276	4Ig-B7-H3|B7-H3|B7H3|B7RP-2	CD276 molecule	protein-coding
MACS_peak_74	chr12	102091410	102091678	+	92.54	NA	5' UTR (NM_020244, exon 1 of 9)	NA	126	NM_020244	56994	Hs.293077	NM_020244	ENSG00000111666	CHPT1	CPT|CPT1	choline phosphotransferase 1	protein-coding
MACS_peak_253	chr5	171662708	171662929	+	92.51	NA	intron (NM_152277, intron 1 of 2)	NA	41642	NM_001171183	285588	Hs.716824	NM_001171183	ENSG00000214360	EFCAB9	-	EF-hand calcium binding domain 9	protein-coding
MACS_peak_185	chr2	151734323	151734551	+	92.08	NA	Intergenic	NA	249026	NR_110245	101929282	Hs.126866	NR_110244	ENSG00000224048	LINC02612	-	long intergenic non-protein coding RNA 2612	ncRNA
MACS_peak_325	chrY	13464708	13464828	+	92.05	NA	Intergenic	NA	1068621	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
MACS_peak_22	chr10	8767975	8768278	+	91.79	NA	Intergenic	NA	-131772	NR_134492	105376398	Hs.63158	NR_134492		LOC105376398	-	uncharacterized LOC105376398	ncRNA
MACS_peak_110	chr15	90236867	90237174	+	91.50	NA	intron (NM_001284395, intron 1 of 16)	NA	2978	NM_001284396	56964	Hs.177557	NM_020212	ENSG00000140527	WDR93	-	WD repeat domain 93	protein-coding
MACS_peak_75	chr12	102942390	102942631	+	90.80	NA	Intergenic	NA	-68169	NM_001111283	3479	Hs.160562	NM_000618	ENSG00000017427	IGF1	IGF|IGF-I|IGFI|MGF	insulin like growth factor 1	protein-coding
MACS_peak_267	chr6	120004178	120004470	+	90.80	NA	intron (NR_134600, intron 2 of 3)	NA	133351	NR_134600	105377975	Hs.671597	NR_134600		LOC105377975	-	uncharacterized LOC105377975	ncRNA
MACS_peak_62	chr11	121196886	121197180	+	90.80	NA	Intergenic	NA	33456	NM_001024956	6309	Hs.287749	NM_006918	ENSG00000109929	SC5D	ERG3|S5DES|SC5DL	sterol-C5-desaturase	protein-coding
MACS_peak_4	chr1	11434493	11434726	+	90.54	NA	Intergenic	NA	101354	NM_001330350	29914	Hs.522933	NM_013319	ENSG00000120942	UBIAD1	SCCD|TERE1	UbiA prenyltransferase domain containing 1	protein-coding
MACS_peak_61	chr11	120683672	120683908	+	90.06	NA	intron (NR_133008, intron 2 of 2)	NA	6034	NR_133008	105369532	Hs.694510	NR_133008		LOC105369532	-	uncharacterized LOC105369532	ncRNA
MACS_peak_156	chr19	36066496	36066750	+	89.85	NA	Intergenic	NA	-12063	NM_000704	495	Hs.36992	NM_000704	ENSG00000105675	ATP4A	ATP6A	ATPase H+/K+ transporting subunit alpha	protein-coding
MACS_peak_147	chr18	21302570	21302809	+	89.59	NA	intron (NM_198129, intron 2 of 74)	NA	33272	NM_001127717	3909	Hs.436367	NM_000227	ENSG00000053747	LAMA3	BM600|E170|LAMNA|LOCS	laminin subunit alpha 3	protein-coding
MACS_peak_262	chr6	79321762	79321964	+	89.53	NA	Intergenic	NA	-72837	NR_162115	113218491		NR_162115		MIR10524	-	microRNA 10524	ncRNA
MACS_peak_25	chr10	32048015	32048263	+	88.22	NA	Intergenic	NA	149715	NM_001270699	94134	Hs.499264	NM_018287	ENSG00000165322	ARHGAP12	-	Rho GTPase activating protein 12	protein-coding
MACS_peak_15	chr1	155349447	155349780	+	86.96	NA	intron (NM_001366177, intron 8 of 27)	NA	-33377	NR_030282	693140		NR_030282	ENSG00000283701	MIR555	MIRN555|hsa-mir-555	microRNA 555	ncRNA
MACS_peak_71	chr12	69833938	69834223	+	86.73	NA	Intergenic	NA	-30088	NM_001278354	10818	Hs.593446	NM_006654	ENSG00000166225	FRS2	FRS1A|FRS2A|FRS2alpha|SNT|SNT-1|SNT1	fibroblast growth factor receptor substrate 2	protein-coding
MACS_peak_211	chr21	46806787	46806969	+	86.49	NA	Intergenic	NA	-18202	NM_130445	80781	Hs.517356	NM_030582	ENSG00000182871	COL18A1	KNO|KNO1|KS	collagen type XVIII alpha 1 chain	protein-coding
MACS_peak_12	chr1	152715616	152715857	+	85.85	NA	Intergenic	NA	-14765	NM_001025231	448834	Hs.149386	NM_001025231	ENSG00000203786	KPRP	C1orf45	keratinocyte proline rich protein	protein-coding
MACS_peak_125	chr16	70170746	70170839	+	85.04	NA	intron (NM_001322118, intron 8 of 16)	NA	23263	NM_017990	55066	Hs.744043	NM_017990	ENSG00000090857	PDPR	PDP3	pyruvate dehydrogenase phosphatase regulatory subunit	protein-coding
MACS_peak_224	chr3	125643690	125643786	+	85.04	NA	intron (NR_024251, intron 3 of 4)	NA	8294	NR_024250	100125556	Hs.553949	NR_024250	ENSG00000171084	FAM86JP	-	family with sequence similarity 86, member A pseudogene	pseudo
MACS_peak_60	chr11	118796555	118796912	+	84.12	NA	Intergenic	NA	15316	NR_039713	100616376		NR_039713	ENSG00000264211	MIR4492	mir-4492	microRNA 4492	ncRNA
MACS_peak_180	chr2	98703492	98703867	+	84.12	NA	promoter-TSS (NR_144296)	NA	49	NR_144296	200403	Hs.269977	NM_144992	ENSG00000168658	VWA3B	SCAR22	von Willebrand factor A domain containing 3B	protein-coding
MACS_peak_188	chr2	171551169	171551237	+	84.07	NA	Intergenic	NA	19874	NR_027433	440925	Hs.668461	NM_001013712	ENSG00000222033	LINC01124	-	long intergenic non-protein coding RNA 1124	ncRNA
MACS_peak_216	chr22	37966225	37966530	+	83.74	NA	TTS (NM_152243)	NA	9717	NM_006498	3957	Hs.531776	NM_006498	ENSG00000100079	LGALS2	HL14	galectin 2	protein-coding
MACS_peak_68	chr12	53365815	53366001	+	83.38	NA	Intergenic	NA	-22264	NM_001256293	3856	Hs.533782	NM_002273	ENSG00000170421	KRT8	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	keratin 8	protein-coding
MACS_peak_275	chr7	30066016	30066234	+	82.55	NA	non-coding (NR_046479, exon 1 of 3)	NA	193	NR_046479	55033	Hs.390838	NM_017946	ENSG00000106080	FKBP14	EDSKMH|EDSKSCL2|FKBP22|IPBP12	FKBP prolyl isomerase 14	protein-coding
MACS_peak_320	chrX	66915837	66916127	+	82.42	NA	TTS (NM_001348064)	NA	151517	NM_001348063	367	Hs.76704	NM_000044	ENSG00000169083	AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor	protein-coding
MACS_peak_215	chr22	37585240	37585438	+	82.33	NA	intron (NM_001365878, intron 3 of 4)	NA	-1052	NM_031910	114904	Hs.22011	NM_031910	ENSG00000133466	C1QTNF6	CTFP6|CTRP6|ZACRP6	C1q and TNF related 6	protein-coding
MACS_peak_46	chr11	66829822	66830023	+	82.16	NA	intron (NM_001300886, intron 1 of 2)	NA	5604	NM_001300886	29984	Hs.15114	NM_014578	ENSG00000173156	RHOD	ARHD|RHOHP1|RHOM|Rho	ras homolog family member D	protein-coding
MACS_peak_260	chr6	43682186	43682430	+	81.86	NA	Intergenic	NA	-26759	NM_018135	55168	Hs.520149	NM_018135	ENSG00000096080	MRPS18A	HumanS18b|MRP-S18-3|MRP-S18-a|MRPS18-3|S18bmt|S18mt-a	mitochondrial ribosomal protein S18A	protein-coding
MACS_peak_121	chr16	33954349	33954426	+	81.51	NA	Intergenic	NA	-11658	NR_162093	113218496		NR_162093		MIR9901	-	microRNA 9901	ncRNA
MACS_peak_57	chr11	94564001	94564205	+	80.31	NA	intron (NM_130847, intron 5 of 12)	NA	62581	NM_130847	154810	Hs.503594	NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding
MACS_peak_124	chr16	50278262	50278476	+	80.09	NA	Intergenic	NA	-22093	NM_001114	113	Hs.513578	NM_001114	ENSG00000121281	ADCY7	AC7	adenylate cyclase 7	protein-coding
MACS_peak_311	chr9	114774385	114774702	+	79.98	NA	Intergenic	NA	80163	NR_039814	100616114		NR_039814	ENSG00000266315	MIR4668	mir-4668	microRNA 4668	ncRNA
MACS_peak_153	chr19	16114442	16114701	+	79.98	NA	Intergenic	NA	-11873	NR_026828	126536	Hs.131824	NR_026828	ENSG00000205396	LINC00661	-	long intergenic non-protein coding RNA 661	ncRNA
MACS_peak_246	chr4	169753009	169753342	+	79.98	NA	promoter-TSS (NM_001166110)	NA	-71	NM_001367569	23022	Hs.151220	NM_016081	ENSG00000129116	PALLD	CGI-151|CGI151|MYN|PNCA1|SIH002	palladin, cytoskeletal associated protein	protein-coding
MACS_peak_7	chr1	41389369	41389589	+	79.17	NA	Intergenic	NA	-55889	NR_125440	1503	Hs.473087	NM_001905	ENSG00000171793	CTPS1	CTPS|GATD5|IMD24	CTP synthase 1	protein-coding
MACS_peak_317	chrX	9975250	9975453	+	78.77	NA	Intergenic	NA	-8444	NM_015691	55841	Hs.527524	NM_015691	ENSG00000047644	WWC3	BM042	WWC family member 3	protein-coding
MACS_peak_19	chr1	247267677	247267999	+	78.61	NA	promoter-TSS (NM_024804)	NA	25	NR_147502	400812	Hs.558907	NR_147502		FLJ39095	-	uncharacterized LOC400812	ncRNA
MACS_peak_95	chr14	95102980	95103357	+	78.33	NA	Intergenic	NA	-3894	NR_015340	388007	Hs.527795	NR_015340	ENSG00000187483	SERPINA13P	SERPINA13|UNQ6121	serpin family A member 13, pseudogene	pseudo
MACS_peak_237	chr4	40264709	40264938	+	77.85	NA	Intergenic	NA	-44379	NR_121641	101060498	Hs.351492	NR_121640	ENSG00000249241	LINC02265	-	long intergenic non-protein coding RNA 2265	ncRNA
MACS_peak_54	chr11	78771015	78771215	+	77.72	NA	intron (NM_001098816, intron 6 of 33)	NA	342038	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
MACS_peak_309	chr9	108132357	108132711	+	77.23	NA	intron (NM_001330731, intron 12 of 15)	NA	-77781	NM_001330739	83856	Hs.136901	NM_031919	ENSG00000106701	FSD1L	CCDC10|CSDUFD1|FSD1CL|FSD1NL|MIR1	fibronectin type III and SPRY domain containing 1 like	protein-coding
MACS_peak_301	chr8	121085452	121085658	+	76.64	NA	Intergenic	NA	-51786	NM_021110	7373	Hs.409662	NM_021110	ENSG00000187955	COL14A1	UND	collagen type XIV alpha 1 chain	protein-coding
MACS_peak_321	chrX	115416818	115417035	+	76.58	NA	Intergenic	NA	114929	NM_000686	186	Hs.405348	NM_000686	ENSG00000180772	AGTR2	AT2|ATGR2|MRX88	angiotensin II receptor type 2	protein-coding
MACS_peak_36	chr10	104928176	104928451	+	75.53	NA	intron (NM_001351179, intron 2 of 19)	NA	8501	NM_001351190	22978	Hs.97439	NM_012229	ENSG00000076685	NT5C2	GMP|NT5B|PNT5|SPG45|SPG65|cN-II	5'-nucleotidase, cytosolic II	protein-coding
MACS_peak_78	chr12	118378894	118379081	+	75.44	NA	intron (NM_173598, intron 1 of 19)	NA	27808	NM_173598	283455	Hs.375836	NM_173598	ENSG00000171435	KSR2	-	kinase suppressor of ras 2	protein-coding
MACS_peak_65	chr12	6473107	6473417	+	75.33	NA	intron (NM_001159576, intron 1 of 11)	NA	-11064	NM_001270987	4055	Hs.1116	NM_002342	ENSG00000111321	LTBR	D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3	lymphotoxin beta receptor	protein-coding
MACS_peak_234	chr3	194215677	194216075	+	75.33	NA	Intergenic	NA	8007	NR_033929	401106	Hs.407087	NR_033929		LINC00884	-	long intergenic non-protein coding RNA 884	ncRNA
MACS_peak_287	chr8	11647215	11647463	+	75.23	NA	Intergenic	NA	-5743	NM_001287743	2222	Hs.593928	NM_004462	ENSG00000079459	FDFT1	DGPT|ERG9|SQS|SQSD|SS	farnesyl-diphosphate farnesyltransferase 1	protein-coding
MACS_peak_179	chr2	89868227	89868311	+	74.54	NA	Intergenic	NA	756385	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
MACS_peak_326	chrY	13851978	13852041	+	74.52	NA	Intergenic	NA	681380	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
MACS_peak_213	chr22	29209702	29210017	+	74.39	NA	Intergenic	NA	-13299	NM_005080	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
MACS_peak_305	chr9	404289	404642	+	74.33	NA	intron (NM_203447, intron 26 of 47)	NA	-65826	NM_001256876	23189	Hs.306764	NM_015158	ENSG00000107104	KANK1	ANKRD15|CPSQ2|KANK	KN motif and ankyrin repeat domains 1	protein-coding
MACS_peak_190	chr2	175525722	175526019	+	73.98	NA	intron (NM_001077269, intron 1 of 7)	NA	21757	NM_001077269	7456	Hs.128067	NM_003387	ENSG00000115935	WIPF1	PRPL-2|WAS2|WASPIP|WIP	WAS/WASL interacting protein family member 1	protein-coding
MACS_peak_113	chr16	501741	501912	+	73.45	NA	intron (NM_001370401, intron 1 of 14)	NA	-23098	NM_001142272	9727	Hs.531642	NM_014700	ENSG00000090565	RAB11FIP3	CART1|FIP3-Rab11|Rab11-FIP3	RAB11 family interacting protein 3	protein-coding
MACS_peak_184	chr2	134250499	134250855	+	72.40	NA	intron (NM_207363, intron 3 of 19)	NA	75357	NM_207481	344148	Hs.537329	NM_207363	ENSG00000176771	NCKAP5	ERIH1|ERIH2|NAP5	NCK associated protein 5	protein-coding
MACS_peak_14	chr1	154301911	154302117	+	72.27	NA	intron (NM_001367934, intron 1 of 26)	NA	740	NM_001367934	57198	Hs.435700	NM_020452	ENSG00000143515	ATP8B2	ATPID	ATPase phospholipid transporting 8B2	protein-coding
MACS_peak_117	chr16	8880271	8880437	+	71.63	NA	Intergenic	NA	11142	NM_015421	25880	Hs.513330	NM_015421	ENSG00000184857	TMEM186	C16orf51	transmembrane protein 186	protein-coding
MACS_peak_183	chr2	133016381	133016472	+	69.94	NA	promoter-TSS (NR_152415)	NA	-820	NR_152415	554226	Hs.380689	NM_001358416	ENSG00000163046	ANKRD30BL	ANKRD30BP3|NCRNA00164	ankyrin repeat domain 30B like	protein-coding
MACS_peak_200	chr20	48428924	48429300	+	69.75	NA	promoter-TSS (NR_048537)	NA	-138	NM_001260491	23315	Hs.444202	NM_015266	ENSG00000197818	SLC9A8	NHE-8|NHE8	solute carrier family 9 member A8	protein-coding
MACS_peak_119	chr16	14580777	14580992	+	69.69	NA	intron (NM_002582, intron 21 of 23)	NA	-116761	NR_131191	105447648	Hs.554151	NR_131191	ENSG00000260009	LINC02130	-	long intergenic non-protein coding RNA 2130	ncRNA
MACS_peak_324	chrX	142020828	142021114	+	69.53	NA	Intergenic	NA	-92743	NM_001009613	441525	Hs.535082	NM_001009613	ENSG00000189326	SPANXN4	CT11.9	SPANX family member N4	protein-coding
MACS_peak_102	chr15	59050360	59050624	+	69.53	NA	Intergenic	NA	-8586	NM_001320570	102	Hs.172028	NM_001110	ENSG00000137845	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	ADAM metallopeptidase domain 10	protein-coding
MACS_peak_35	chr10	103880172	103880414	+	69.53	NA	promoter-TSS (NM_001113407)	NA	-63	NM_001113407	8861	Hs.454418	NM_003893	ENSG00000198728	LDB1	CLIM-2|CLIM2|LDB-1|NLI	LIM domain binding 1	protein-coding
