PeakID (cmd=annotatePeaks.pl ESR1_WTE.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_4286	chr20	44325003	44325942	+	514.78	NA	NA	NA	-5205	NM_172005	164237	Hs.406733	NM_172005	ENSG00000168634	WFDC13	C20orf138|WAP13|dJ601O1.3	WAP four-disulfide core domain 13	protein-coding
MACS_peak_134	chr1	25802507	25803422	+	514.72	NA	NA	NA	45576	NM_018202	55219	Hs.189782	NM_018202	ENSG00000204178	MACO1	MACOILIN|TMEM57	macoilin 1	protein-coding
MACS_peak_2355	chr15	75081158	75082011	+	513.98	NA	NA	NA	-486	NR_039738	100616183		NR_039738	ENSG00000264386	MIR4513	-	microRNA 4513	ncRNA
MACS_peak_3925	chr2	134340200	134341011	+	513.64	NA	NA	NA	-14571	NM_207363	344148	Hs.537329	NM_207363	ENSG00000176771	NCKAP5	ERIH1|ERIH2|NAP5	NCK associated protein 5	protein-coding
MACS_peak_7129	chr9	138258242	138258885	+	513.54	NA	NA	NA	23468	NM_173520	157927	Hs.559511	NM_173520		C9orf62	-	chromosome 9 open reading frame 62	protein-coding
MACS_peak_374	chr1	153492617	153493317	+	513.35	NA	NA	NA	15500	NM_014624	6277	Hs.275243	NM_014624	ENSG00000197956	S100A6	2A9|5B10|CABP|CACY|PRA|S10A6	S100 calcium binding protein A6	protein-coding
MACS_peak_4451	chr21	30758270	30758813	+	513.06	NA	NA	NA	13720	NR_046564	100874322	Hs.326404	NR_046564		BACH1-IT2	-	BACH1 intronic transcript 2	ncRNA
MACS_peak_3235	chr18	46500842	46501581	+	512.99	NA	NA	NA	-24130	NM_005904	4092	Hs.465087	NM_005904	ENSG00000101665	SMAD7	CRCS3|MADH7|MADH8	SMAD family member 7	protein-coding
MACS_peak_5051	chr3	129627037	129627768	+	512.95	NA	NA	NA	14688	NR_037893	100507032	Hs.529562	NR_037893	ENSG00000271270	TMCC1-AS1	-	TMCC1 antisense RNA 1 (head to head)	ncRNA
MACS_peak_2954	chr17	45751005	45751863	+	512.59	NA	NA	NA	-21196	NM_014726	9755	Hs.94790	NM_014726	ENSG00000198933	TBKBP1	ProSAPiP2|SINTBAD	TBK1 binding protein 1	protein-coding
MACS_peak_4464	chr21	36106769	36107561	+	512.06	NA	NA	NA	2314	NR_024351	54064	Hs.436868	NR_024351	ENSG00000230978	LINC00160	C21orf52|NCRNA00160	long intergenic non-protein coding RNA 160	ncRNA
MACS_peak_2608	chr16	50278207	50278825	+	511.88	NA	NA	NA	-21946	NM_001114	113	Hs.513578	NM_001114	ENSG00000121281	ADCY7	AC7	adenylate cyclase 7	protein-coding
MACS_peak_6005	chr6	86303043	86303803	+	511.77	NA	NA	NA	153	NM_153816	57231	Hs.485871	NM_020468	ENSG00000135317	SNX14	RGS-PX2|SCAR20	sorting nexin 14	protein-coding
MACS_peak_5612	chr5	70976071	70976807	+	511.35	NA	NA	NA	-38663	NM_004291	9607	Hs.1707	NM_004291	ENSG00000164326	CARTPT	CART	CART prepropeptide	protein-coding
MACS_peak_3868	chr2	113348523	113349557	+	511.19	NA	NA	NA	6609	NM_001304354	84269	Hs.375707	NM_032309	ENSG00000125611	CHCHD5	C2orf9|CHTM1|MIC14|MIX14	coiled-coil-helix-coiled-coil-helix domain containing 5	protein-coding
MACS_peak_4002	chr2	169438706	169439710	+	511.03	NA	NA	NA	-245	NR_039933	100616356		NR_039933	ENSG00000265694	MIR4774	-	microRNA 4774	ncRNA
MACS_peak_6021	chr6	106076108	106077122	+	510.54	NA	NA	NA	-225658	NM_002726	5550	Hs.436564	NM_002726	ENSG00000085377	PREP	PE|PEP	prolyl endopeptidase	protein-coding
MACS_peak_3809	chr2	97462381	97463215	+	509.87	NA	NA	NA	-1217	NR_036074	100422928		NR_036074	ENSG00000264157	MIR3127	mir-3127	microRNA 3127	ncRNA
MACS_peak_2445	chr15	100105097	100105866	+	508.80	NA	NA	NA	-141	NM_001352617	4205	Hs.268675	NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
MACS_peak_2026	chr14	75726539	75727451	+	508.70	NA	NA	NA	-18536	NM_005252	2353	Hs.25647	NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
MACS_peak_2442	chr15	99558557	99559367	+	508.57	NA	NA	NA	1029	NR_126487	104564224	Hs.32769	NR_126487		LUNAR1	-	leukemia-associated non-coding IGF1R activator RNA 1	ncRNA
MACS_peak_5670	chr5	122204806	122205597	+	507.54	NA	NA	NA	23893	NM_014035	28966	Hs.483200	NM_014035	ENSG00000064652	SNX24	PRO1284|SBBI31	sorting nexin 24	protein-coding
MACS_peak_164	chr1	32798321	32799030	+	507.25	NA	NA	NA	3159	NM_023009	65108	Hs.75061	NM_023009	ENSG00000175130	MARCKSL1	F52|MACMARCKS|MLP|MLP1|MRP	MARCKS like 1	protein-coding
MACS_peak_2269	chr15	59050193	59051004	+	506.94	NA	NA	NA	-8692	NM_001320570	102	Hs.172028	NM_001110	ENSG00000137845	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	ADAM metallopeptidase domain 10	protein-coding
MACS_peak_5741	chr5	149257550	149258347	+	505.88	NA	NA	NA	54592	NR_110534	644762	Hs.730366	NR_110534		LOC644762	-	mitochondrial fission factor pseudogene	pseudo
MACS_peak_4115	chr2	226480154	226480734	+	505.07	NA	NA	NA	214842	NM_020864	57624	Hs.224409	NM_020864	ENSG00000144460	NYAP2	KIAA1486	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	protein-coding
MACS_peak_4953	chr3	63898594	63899900	+	504.20	NA	NA	NA	-1799	NR_148359	100861563		NR_148359	ENSG00000280620	SCAANT1	ATXN7-AS1	SCA7/ATXN7 antisense RNA 1	ncRNA
MACS_peak_5582	chr5	58675861	58677281	+	503.69	NA	NA	NA	-23775	NM_001197219	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
MACS_peak_1257	chr11	72903272	72903852	+	503.05	NA	NA	NA	-25764	NM_176072	5029	Hs.339	NM_002564	ENSG00000175591	P2RY2	HP2U|P2RU1|P2U|P2U1|P2UR|P2Y2|P2Y2R	purinergic receptor P2Y2	protein-coding
MACS_peak_67	chr1	15303623	15304382	+	502.96	NA	NA	NA	31587	NM_001017999	23254	Hs.368823	NM_015209	ENSG00000189337	KAZN	KAZ	kazrin, periplakin interacting protein	protein-coding
MACS_peak_3544	chr19	47598919	47599959	+	502.87	NA	NA	NA	17594	NM_015168	23211	Hs.104661	NM_015168	ENSG00000130749	ZC3H4	C19orf7	zinc finger CCCH-type containing 4	protein-coding
MACS_peak_4530	chr21	43810723	43811576	+	502.87	NA	NA	NA	-1891	NM_032404	64699	Hs.208600	NM_024022	ENSG00000160183	TMPRSS3	DFNB10|DFNB8|ECHOS1|TADG12	transmembrane serine protease 3	protein-coding
MACS_peak_4973	chr3	71433124	71434082	+	501.93	NA	NA	NA	-79681	NM_001244812	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
MACS_peak_1250	chr11	72493543	72494506	+	500.89	NA	NA	NA	-551	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
MACS_peak_5345	chr4	68794157	68794830	+	500.84	NA	NA	NA	34718	NM_001114387	339967	Hs.450110	NM_182606	ENSG00000187054	TMPRSS11A	ECRG1	transmembrane serine protease 11A	protein-coding
MACS_peak_6340	chr7	84165260	84166061	+	500.71	NA	NA	NA	3868	NR_110079	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
MACS_peak_4520	chr21	43479720	43480559	+	500.29	NA	NA	NA	-2847	NM_001199528	89766	Hs.242520	NM_173568	ENSG00000177398	UMODL1	-	uromodulin like 1	protein-coding
MACS_peak_2839	chr17	7199521	7200174	+	499.57	NA	NA	NA	-1889	NM_015982	51087	Hs.567494	NM_015982	ENSG00000006047	YBX2	CONTRIN|CSDA3|DBPC|MSY2	Y-box binding protein 2	protein-coding
MACS_peak_4116	chr2	226511338	226511887	+	499.20	NA	NA	NA	246010	NM_020864	57624	Hs.224409	NM_020864	ENSG00000144460	NYAP2	KIAA1486	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	protein-coding
MACS_peak_6045	chr6	119121606	119122298	+	498.51	NA	NA	NA	18081	NR_037662	100287632	Hs.334026	NR_037662		SELENOKP3	-	selenoprotein K pseudogene 3	pseudo
MACS_peak_6328	chr7	75939388	75940108	+	498.00	NA	NA	NA	7758	NM_001540	3315	Hs.520973	NM_001540	ENSG00000106211	HSPB1	CMT2F|HEL-S-102|HMN2B|HS.76067|HSP27|HSP28|Hsp25|SRP27	heat shock protein family B (small) member 1	protein-coding
MACS_peak_547	chr1	212251078	212251832	+	497.30	NA	NA	NA	500	NR_036068	100422947		NR_036068	ENSG00000264358	MIR3122	mir-3122	microRNA 3122	ncRNA
MACS_peak_6268	chr7	45276195	45276898	+	497.17	NA	NA	NA	79156	NM_005856	10268	Hs.25691	NM_005856	ENSG00000122679	RAMP3	-	receptor activity modifying protein 3	protein-coding
MACS_peak_3694	chr2	42587565	42588485	+	495.48	NA	NA	NA	332	NM_001319038	9167	Hs.339639	NM_004718	ENSG00000115944	COX7A2L	COX7AR|COX7RP|EB1|SIG81	cytochrome c oxidase subunit 7A2 like	protein-coding
MACS_peak_5493	chr5	377938	378703	+	495.42	NA	NA	NA	64955	NR_126522	116349	Hs.446702	NM_138464	ENSG00000221990	EXOC3-AS1	C5orf55	EXOC3 antisense RNA 1	ncRNA
MACS_peak_6998	chr9	110567156	110568084	+	495.17	NA	NA	NA	-315570	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
MACS_peak_1099	chr11	20057205	20058394	+	495.10	NA	NA	NA	13050	NR_046672	100874014	Hs.557916	NR_046672	ENSG00000254453	NAV2-AS2	-	NAV2 antisense RNA 2	ncRNA
MACS_peak_3182	chr18	12948152	12948876	+	495.06	NA	NA	NA	504	NM_001013437	81929	Hs.301048	NM_031216	ENSG00000085415	SEH1L	SEC13L|SEH1A|SEH1B|Seh1	SEH1 like nucleoporin	protein-coding
MACS_peak_5170	chr3	187646372	187647205	+	494.23	NA	NA	NA	47407	NR_135537	105374266	Hs.570518	NR_135537		LINC01991	-	long intergenic non-protein coding RNA 1991	ncRNA
MACS_peak_5616	chr5	72925992	72926662	+	493.84	NA	NA	NA	4344	NM_001080479	64283	Hs.482521	NM_001080479	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding
MACS_peak_7148	chr9	139755293	139756187	+	493.76	NA	NA	NA	5020	NM_001281298	8721	Hs.174050	NM_003792	ENSG00000107223	EDF1	CFAP280|EDF-1|MBF1	endothelial differentiation related factor 1	protein-coding
MACS_peak_3266	chr18	60822813	60823524	+	492.98	NA	NA	NA	163445	NM_000633	596	Hs.150749	NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding
MACS_peak_3134	chr17	80192360	80193429	+	492.31	NA	NA	NA	119	NM_001206951	9123	Hs.500761	NM_004207	ENSG00000141526	SLC16A3	MCT 3|MCT 4|MCT-3|MCT-4|MCT3|MCT4	solute carrier family 16 member 3	protein-coding
MACS_peak_1135	chr11	45182576	45183375	+	491.88	NA	NA	NA	14081	NM_001256695	56981	Hs.178715	NM_001256695	ENSG00000019485	PRDM11	PFM8	PR/SET domain 11	protein-coding
MACS_peak_180	chr1	38078495	38079262	+	491.26	NA	NA	NA	-17292	NM_001323623	29889	Hs.75528	NM_013285	ENSG00000134697	GNL2	HUMAUANTIG|NGP1|Ngp-1|Nog2|Nug2	G protein nucleolar 2	protein-coding
MACS_peak_126	chr1	24327645	24328180	+	491.02	NA	NA	NA	-20959	NR_034035	10772	Hs.3530	NM_006625	ENSG00000188529	SRSF10	FUSIP1|FUSIP2|NSSR|PPP1R149|SFRS13|SFRS13A|SRp38|SRrp40|TASR|TASR1|TASR2	serine and arginine rich splicing factor 10	protein-coding
MACS_peak_1424	chr12	6373821	6374394	+	490.79	NA	NA	NA	-45495	NM_018173	55200	Hs.631660	NM_018173	ENSG00000008323	PLEKHG6	MyoGEF	pleckstrin homology and RhoGEF domain containing G6	protein-coding
MACS_peak_1772	chr13	41590948	41591692	+	490.52	NA	NA	NA	2132	NM_172373	1997	Hs.135646	NM_172373	ENSG00000120690	ELF1	EFTUD1|RIA1	E74 like ETS transcription factor 1	protein-coding
MACS_peak_5144	chr3	170052585	170053060	+	489.13	NA	NA	NA	-22681	NM_001145098	6498	Hs.536655	NM_005414	ENSG00000136603	SKIL	SNO|SnoA|SnoI|SnoN	SKI like proto-oncogene	protein-coding
MACS_peak_6090	chr6	140201078	140201606	+	489.13	NA	NA	NA	25355	NR_138542	100132735	Hs.62646	NR_038399	ENSG00000231426	FILNC1	-	FOXO induced long non-coding RNA 1	ncRNA
MACS_peak_1448	chr12	25671384	25671988	+	489.13	NA	NA	NA	34531	NM_001145728	160492	Hs.44647	NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
MACS_peak_6471	chr7	152396144	152397199	+	488.54	NA	NA	NA	-23445	NM_005431	7516	Hs.647093	NM_005431	ENSG00000196584	XRCC2	FANCU	X-ray repair cross complementing 2	protein-coding
MACS_peak_7072	chr9	130717681	130718478	+	487.85	NA	NA	NA	-5086	NM_203305	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
MACS_peak_3033	chr17	62151307	62152039	+	487.79	NA	NA	NA	-53679	NM_001099787	3384	Hs.431460	NM_000873	ENSG00000108622	ICAM2	CD102	intercellular adhesion molecule 2	protein-coding
MACS_peak_4983	chr3	73748236	73749218	+	487.23	NA	NA	NA	-74635	NM_015009	23024	Hs.660347	NM_015009	ENSG00000121440	PDZRN3	LNX3|SEMACAP3|SEMCAP3	PDZ domain containing ring finger 3	protein-coding
MACS_peak_7211	chrX	40367915	40368419	+	487.20	NA	NA	NA	-72055	NM_005765	10159	Hs.495960	NM_005765	ENSG00000182220	ATP6AP2	APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS	ATPase H+ transporting accessory protein 2	protein-coding
MACS_peak_278	chr1	77409589	77410272	+	487.03	NA	NA	NA	76765	NM_001320273	81849	Hs.149201	NM_030965	ENSG00000117069	ST6GALNAC5	SIAT7-E|SIAT7E|ST6GalNAcV	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
MACS_peak_2118	chr14	96082685	96083668	+	486.64	NA	NA	NA	-35258	NR_028288	27004	Hs.510368	NM_012468		TCL6	TNG1|TNG2	T cell leukemia/lymphoma 6	ncRNA
MACS_peak_2139	chr14	100021064	100021920	+	485.51	NA	NA	NA	49052	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
MACS_peak_6940	chr9	93720772	93721801	+	485.21	NA	NA	NA	116128	NR_033912	100129316	Hs.458154	NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
MACS_peak_1813	chr13	86163406	86164283	+	484.91	NA	NA	NA	209710	NM_032229	84189	Hs.525105	NM_032229	ENSG00000184564	SLITRK6	DFNMYP	SLIT and NTRK like family member 6	protein-coding
MACS_peak_6757	chr8	124575590	124576744	+	484.83	NA	NA	NA	-22721	NM_001242463	114907	Hs.403933	NM_058229	ENSG00000156804	FBXO32	Fbx32|MAFbx	F-box protein 32	protein-coding
MACS_peak_2897	chr17	32692160	32692713	+	484.78	NA	NA	NA	-2184	NM_002981	6346	Hs.72918	NM_002981	ENSG00000108702	CCL1	I-309|P500|SCYA1|SISe|TCA3	C-C motif chemokine ligand 1	protein-coding
MACS_peak_6563	chr8	22592116	22592820	+	484.65	NA	NA	NA	-41475	NM_004430	1960	Hs.534313	NM_004430	ENSG00000179388	EGR3	EGR-3|PILOT	early growth response 3	protein-coding
MACS_peak_975	chr10	119853016	119854062	+	483.88	NA	NA	NA	-47087	NM_014904	22841	Hs.173656	NM_014904	ENSG00000107560	RAB11FIP2	Rab11-FIP2|nRip11	RAB11 family interacting protein 2	protein-coding
MACS_peak_3643	chr2	20574557	20575075	+	483.39	NA	NA	NA	-22802	NM_001352920	23369	Hs.467824	NM_015317	ENSG00000055917	PUM2	PUMH2|PUML2	pumilio RNA binding family member 2	protein-coding
MACS_peak_2106	chr14	95663766	95664437	+	483.33	NA	NA	NA	-39754	NM_030621	23405	Hs.87889	NM_030621	ENSG00000100697	DICER1	DCR1|Dicer|Dicer1e|GLOW|HERNA|K12H4.8-LIKE|MNG1|RMSE2	dicer 1, ribonuclease III	protein-coding
MACS_peak_6831	chr9	2469656	2470615	+	483.22	NA	NA	NA	-151652	NM_001018056	7436	Hs.370422	NM_003383	ENSG00000147852	VLDLR	CAMRQ1|CARMQ1|CHRMQ1|VLDL-R|VLDLRCH	very low density lipoprotein receptor	protein-coding
MACS_peak_1720	chr12	131581523	131582375	+	482.84	NA	NA	NA	-67607	NR_026670	116437	Hs.675497	NR_026670	ENSG00000204603	LINC01257	-	long intergenic non-protein coding RNA 1257	ncRNA
MACS_peak_2862	chr17	17658549	17659298	+	482.36	NA	NA	NA	10693	NR_130894	100861516	Hs.624874	NR_130894	ENSG00000237328	RAI1-AS1	-	RAI1 antisense RNA 1	ncRNA
MACS_peak_1056	chr11	2186170	2186906	+	481.73	NA	NA	NA	-4099	NR_003512	723961	Hs.272259	NM_001042376	ENSG00000129965	INS-IGF2	INSIGF	INS-IGF2 readthrough	protein-coding
MACS_peak_4613	chr22	23508542	23509021	+	480.94	NA	NA	NA	-13915	NM_021574	613	Hs.517461	NM_004327	ENSG00000186716	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR activator of RhoGEF and GTPase	protein-coding
MACS_peak_1313	chr11	86487225	86487750	+	480.69	NA	NA	NA	-14626	NM_001293180	11098	Hs.25338	NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
MACS_peak_316	chr1	112015628	112016608	+	479.15	NA	NA	NA	-488	NM_174896	128346	Hs.288010	NM_174896	ENSG00000143110	C1orf162	-	chromosome 1 open reading frame 162	protein-coding
MACS_peak_764	chr10	49495675	49496591	+	476.28	NA	NA	NA	-13394	NM_001018071	143162	Hs.664786	NM_152428	ENSG00000170324	FRMPD2	PDZD5C|PDZK4|PDZK5C	FERM and PDZ domain containing 2	protein-coding
MACS_peak_422	chr1	175156207	175156974	+	476.12	NA	NA	NA	5322	NM_001319231	9674	Hs.518138	NM_014656	ENSG00000235750	KIAA0040	-	KIAA0040	protein-coding
MACS_peak_571	chr1	226249471	226250391	+	475.41	NA	NA	NA	-486	NM_002107	3020	Hs.533624	NM_002107	ENSG00000163041	H3F3A	H3.3A|H3F3	H3 histone family member 3A	protein-coding
MACS_peak_4445	chr21	22369110	22369735	+	475.23	NA	NA	NA	-1305	NM_001352594	4685	Hs.473450	NM_004540	ENSG00000154654	NCAM2	NCAM21	neural cell adhesion molecule 2	protein-coding
MACS_peak_2881	chr17	26852298	26852746	+	475.23	NA	NA	NA	1563	NM_003593	8456	Hs.58611	NM_003593	ENSG00000109101	FOXN1	FKHL20|RONU|WHN	forkhead box N1	protein-coding
MACS_peak_938	chr10	106240466	106241242	+	475.15	NA	NA	NA	-821	NR_120624	101927523	Hs.407539	NR_120624	ENSG00000225768	LINC02620	-	long intergenic non-protein coding RNA 2620	ncRNA
MACS_peak_3632	chr2	16687283	16688266	+	473.33	NA	NA	NA	159328	NM_030797	81553	Hs.467769	NM_030797	ENSG00000197872	FAM49A	-	family with sequence similarity 49 member A	protein-coding
MACS_peak_5329	chr4	48855092	48855769	+	471.86	NA	NA	NA	6790	NR_146806	100861517	Hs.661065	NR_146806	ENSG00000248256	OCIAD1-AS1	-	OCIAD1 antisense RNA 1	ncRNA
MACS_peak_3418	chr19	18490706	18491609	+	470.57	NA	NA	NA	-5811	NM_004864	9518	Hs.616962	NM_004864	ENSG00000130513	GDF15	GDF-15|MIC-1|MIC1|NAG-1|PDF|PLAB|PTGFB	growth differentiation factor 15	protein-coding
MACS_peak_1165	chr11	63640339	63640848	+	470.41	NA	NA	NA	-15416	NM_017490	2011	Hs.567261	NM_004954	ENSG00000072518	MARK2	EMK-1|EMK1|PAR-1|Par-1b|Par1b	microtubule affinity regulating kinase 2	protein-coding
MACS_peak_4679	chr22	33121088	33121883	+	470.23	NA	NA	NA	-75317	NM_000362	7078	Hs.644633	NM_000362	ENSG00000100234	TIMP3	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3	protein-coding
MACS_peak_4095	chr2	218196163	218197357	+	469.96	NA	NA	NA	49304	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
MACS_peak_3522	chr19	45221575	45222460	+	469.92	NA	NA	NA	19596	NM_001039213	388551	Hs.456381	NM_001039213	ENSG00000213892	CEACAM16	CEAL2|DFNA4B|DFNB113	carcinoembryonic antigen related cell adhesion molecule 16	protein-coding
MACS_peak_2113	chr14	95951529	95952193	+	469.18	NA	NA	NA	-9689	NM_001363692	161176	Hs.41502	NM_024633	ENSG00000176438	SYNE3	C14orf139|C14orf49|KASH3|LINC00341|NCRNA00341|NET53|Nesp3	spectrin repeat containing nuclear envelope family member 3	protein-coding
MACS_peak_993	chr10	125396223	125396816	+	469.09	NA	NA	NA	-29352	NM_153442	2849	Hs.12751	NM_153442	ENSG00000154478	GPR26	-	G protein-coupled receptor 26	protein-coding
MACS_peak_595	chr1	234860334	234860967	+	466.88	NA	NA	NA	861	NR_038856	100506810	Hs.586634	NR_038856	ENSG00000227630	LINC01132	-	long intergenic non-protein coding RNA 1132	ncRNA
MACS_peak_2643	chr16	65772998	65773863	+	466.33	NA	NA	NA	-163227	NR_027755	283867	Hs.444774	NM_001101346	ENSG00000261742	LINC00922	-	long intergenic non-protein coding RNA 922	ncRNA
MACS_peak_6798	chr8	135723537	135724309	+	465.02	NA	NA	NA	1351	NM_020863	57623	Hs.446172	NM_020863	ENSG00000066827	ZFAT	AITD3|ZFAT1|ZNF406	zinc finger and AT-hook domain containing	protein-coding
MACS_peak_4627	chr22	24927661	24928632	+	463.61	NA	NA	NA	22960	NM_001284257	83606	Hs.9850	NM_031444	ENSG00000138867	GUCD1	C22orf13|LLN4	guanylyl cyclase domain containing 1	protein-coding
MACS_peak_3908	chr2	130702929	130703581	+	463.61	NA	NA	NA	-11365	NR_026740	389033	Hs.380682	NR_026740	ENSG00000214100	PLAC9P1	-	placenta associated 9 pseudogene 1	pseudo
MACS_peak_1089	chr11	17260567	17261471	+	463.38	NA	NA	NA	-31486	NM_002645	5286	Hs.175343	NM_002645	ENSG00000011405	PIK3C2A	CPK|OCSKD|PI3-K-C2(ALPHA)|PI3-K-C2A|PI3K-C2-alpha|PI3K-C2alpha	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	protein-coding
MACS_peak_189	chr1	39720869	39721380	+	463.34	NA	NA	NA	-153621	NM_015038	643314	Hs.658760	NM_015038	ENSG00000127603	KIAA0754	-	KIAA0754	protein-coding
MACS_peak_2480	chr16	1700931	1702301	+	463.01	NA	NA	NA	-26664	NM_144570	90861	Hs.513261	NM_144570	ENSG00000206053	JPT2	C16orf34|HN1L|L11	Jupiter microtubule associated homolog 2	protein-coding
MACS_peak_868	chr10	82188848	82189820	+	462.48	NA	NA	NA	15745	NM_001243782	84293	Hs.500333	NM_032333	ENSG00000122378	PRXL2A	Adrx|C10orf58|FAM213A|PAMM	peroxiredoxin like 2A	protein-coding
MACS_peak_2281	chr15	63259009	63259948	+	462.34	NA	NA	NA	-75468	NM_001018006	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1	protein-coding
MACS_peak_4281	chr20	43342977	43343715	+	461.79	NA	NA	NA	-139	NM_001323370	8839	Hs.592145	NM_003881	ENSG00000064205	CCN5	CT58|CTGF-L|WISP2	cellular communication network factor 5	protein-coding
MACS_peak_70	chr1	15351726	15352572	+	461.51	NA	NA	NA	79734	NM_001017999	23254	Hs.368823	NM_015209	ENSG00000189337	KAZN	KAZ	kazrin, periplakin interacting protein	protein-coding
MACS_peak_862	chr10	80922559	80923092	+	461.25	NA	NA	NA	94102	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
MACS_peak_3114	chr17	77916049	77916716	+	461.03	NA	NA	NA	8270	NM_001271844	125058	Hs.369819	NM_019020	ENSG00000167291	TBC1D16	-	TBC1 domain family member 16	protein-coding
MACS_peak_1242	chr11	70962391	70964180	+	460.58	NA	NA	NA	-27443	NM_012309	22941	Hs.268726	NM_012309	ENSG00000162105	SHANK2	AUTS17|CORTBP1|CTTNBP1|ProSAP1|SHANK|SPANK-3	SH3 and multiple ankyrin repeat domains 2	protein-coding
MACS_peak_3216	chr18	37103126	37103621	+	460.46	NA	NA	NA	98766	NR_030628	100126323		NR_030628	ENSG00000283615	MIR924	MIRN924|hsa-mir-924	microRNA 924	ncRNA
MACS_peak_4991	chr3	89552800	89553672	+	460.10	NA	NA	NA	396465	NM_182644	2042	Hs.123642	NM_005233	ENSG00000044524	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3	protein-coding
MACS_peak_2389	chr15	85451578	85452271	+	459.76	NA	NA	NA	24031	NM_004213	9154	Hs.459187	NM_004213	ENSG00000156222	SLC28A1	CNT1|HCNT1	solute carrier family 28 member 1	protein-coding
MACS_peak_5139	chr3	169341690	169342320	+	459.55	NA	NA	NA	39495	NM_001366466	2122	Hs.656395	NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|KMT8E|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MDS1 and EVI1 complex locus	protein-coding
MACS_peak_5758	chr5	171662264	171663002	+	458.63	NA	NA	NA	41457	NM_001171183	285588	Hs.716824	NM_001171183	ENSG00000214360	EFCAB9	-	EF-hand calcium binding domain 9	protein-coding
MACS_peak_4209	chr20	23338293	23339050	+	457.98	NA	NA	NA	93	NR_109884	100505683	Hs.140295	NR_109884	ENSG00000232645	LINC01431	-	long intergenic non-protein coding RNA 1431	ncRNA
MACS_peak_2822	chr17	1523545	1524628	+	457.38	NA	NA	NA	7624	NM_001284498	124935	Hs.160550	NM_152346	ENSG00000167703	SLC43A2	LAT4	solute carrier family 43 member 2	protein-coding
MACS_peak_95	chr1	18692280	18693021	+	457.03	NA	NA	NA	-114774	NM_152375	127707	Hs.406913	NM_152375	ENSG00000179023	KLHDC7A	-	kelch domain containing 7A	protein-coding
